Datetime,Open_BID,High_BID,Low_BID,Close_BID,Volume_BID,Open_ASK,High_ASK,Low_ASK,Close_ASK,Volume_ASK,Mid_Price,Spread,Volume,Open_Mid,High_Mid,Low_Mid,Close_Mid,Unix_Diff_Since_Earnings,Unix_Diff_Until_Earnings,Month,Day_Type,Week_of_Year,Quarter,Hour,Is_Open_Hour,Is_Close_Hour,Day_of_Week,Is_Lunch_Time,Time_Since_Open,score,rating,SMA_3,SMA_6,SMA_12,SMA_5,SMA_10,SMA_20,EMA_3,EMA_6,EMA_12,EMA_26,MACD,Signal_Line,%K,%D,CCI,Return_1H,Return_3H,Return_6H,RSI_long,RSI_short,Middle_Band,Upper_Band,Lower_Band,BB_Width,High_Low,High_Close,Low_Close,True_Range,ATR,Volume_SMA_3,Volume_SMA_6,OBV,MF_Multiplier,MF_Volume,CMF,Volatility,Return,Volume_change,Lag_Mid_Price_1,Lag_Mid_Price_2,Lag_Mid_Price_3,Lag_Mid_Price_4,Lag_Return_1,Lag_Return_2,Lag_Return_3,Lag_Return_4,Return_1,Return_5,Return_10,Rolling_Mean_5,Rolling_Std_5,Lagged_Volatility,Hammer,Rolling_Skew,Rolling_Kurt,Price_Z_Score,Conversion_Line,Base_Line,Leading_Span_A,Leading_Span_B,Williams_%R,High_Low_Ratio,Close_Open_Ratio,Order_Imbalance,VPT,A/D_Line,Support_10,Resistance_10,Support_Close_10,Resistance_Close_10,Support_20,Resistance_20,Support_Close_20,Resistance_Close_20,SMA5_Volume,RSI_Volatility,OBV_ROC,ROC,UpMove,DownMove,+DM,-DM,+DI,-DI,DX,ADX,PSAR,Engulfing,Price_Channel_High,Price_Channel_Low,Price_Channel_Range,Hist_Volatility,Cumulative_Volume,VWAP,Log_Cumulative_VP,Is_Holiday,Is_Nearest_Holiday,RSI_MACD,ATR_VPT,Decay_Factor,Price_Decayed,Momentum,Velocity,Acceleration,Log_Return,Pct_VWAP,Trading_Session_Closing,Trading_Session_Middle,Trading_Session_Opening,Spread_Change,Spread_Change_SMA_5,Order_Book_Imbalance,Breakout_Support,Breakout_Resistance,Mean_Reversion,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,AutoEnc_1,AutoEnc_2,AutoEnc_3,AutoEnc_4,AutoEnc_5,AutoEnc_6,AutoEnc_7,AutoEnc_8,AutoEnc_9,AutoEnc_10,RSI_short_scaled,MACD_scaled,ATR_scaled,VPT_scaled,RSI_short_scaled^2,RSI_short_scaled MACD_scaled,RSI_short_scaled ATR_scaled,RSI_short_scaled VPT_scaled,MACD_scaled^2,MACD_scaled ATR_scaled,MACD_scaled VPT_scaled,ATR_scaled^2,ATR_scaled VPT_scaled,VPT_scaled^2,y
2021-01-25 09:00:00-05:00,142.958,145.058,142.918,144.917,233127.6398,143.202,145.082,142.952,144.953,244740.0055,144.935,0.036000000000001364,238933.82265,143.07999999999998,145.07,142.935,144.935,7653600.0,122400,1,1,4,1,9,1,0,0,0,0.0,69.7,3,140.99499999999998,139.38333333333333,138.02124999999998,139.791,138.3965,136.16275000000002,141.81618269801066,140.09965118560768,138.256151378844,135.5727850026649,2.683366376179123,2.1379911800007187,98.68549172346648,94.35959012763573,251.13944771130267,0.04296045766919754,0.05029167723468242,0.05884716540035062,94.3954104031637,94.3954104031637,136.16275000000002,142.5174080304028,129.80809196959723,12.709316060805577,2.134999999999991,6.105000000000018,3.9700000000000273,6.105000000000018,1.4607499999999984,162400.0142499998,141378.82424166668,22974397.529799856,0.8735362997658159,208717.3673265827,0.31067695509189636,2.9225382803881685,0.04296045766919754,0.6031703706954867,138.96499999999997,139.08499999999998,137.995,137.97500000000002,-0.0008627817521659198,0.007898836914380869,0.00014495379597745384,0.0045869889693839205,0.04296045766919754,0.05526229567876517,0.06471992653810843,139.791,2.9225382803881685,0.7357784995087812,0,3.008836514009621,9.87895090040902,2.7608881415902,140.05,136.18475,128.66500000000002,129.745,-1.3145082765335068,1.0149368594116206,1.0129647749510764,-11612.365699999995,-59834.00014001112,34401197.55138561,135.017,145.082,136.54,144.935,131.058,145.082,131.87,144.935,33400798.002066147,275.87420039619747,0.01050930061192723,0.06511115193826944,5.219499999999982,-4.3104999999999905,5.219499999999982,0.0,49.31664262487459,8.63059582895278,70.21222733205903,70.9174812044213,137.61782864,0,144.935,131.87,13.064999999999998,0.010437089840693725,548957488.0164007,238.6932623674893,25.59871086775326,0,0,253.29747034147843,-87402.51570452115,3.917469664450395e-64,5.677784658171181e-62,8.810000000000002,5.970000000000027,6.090000000000032,0.04206326318988371,-0.3927981101667637,False,False,True,-0.33333333333333337,0.4404761904762293,-0.024300380689531467,0,0,0,-22789193.90666735,18512848.787821673,-8113578.33740497,9059030.710906096,3391411.348013323,165745780.0,0.0,0.0,0.0,140689150.0,169345970.0,208393870.0,183276430.0,193091150.0,196844050.0,2.197995220110465,0.6690108947787773,-0.010317675763221838,0.18398876474333714,4.831182987628452,1.4704827489255778,-0.022678202010211194,0.4044064254598839,0.4475755773327002,-0.006902637494390346,0.12309048813018193,0.00010645443315497534,-0.0018983364186974543,0.03385186555177906,0
2021-01-25 10:00:00-05:00,144.928,144.978,140.867,141.077,315345.52,144.952,144.992,140.902,141.133,332390.0146,141.10500000000002,0.056000000000011596,323867.7673,144.94,144.985,140.8845,141.10500000000002,7657200.0,118800,1,1,4,1,10,0,0,0,0,0.5,69.7,3,141.66833333333332,140.01,138.43291666666667,140.41699999999997,138.853,136.614,141.46059134900534,140.3868937040055,138.6944357820988,135.98257870617118,2.711857075927611,2.2527643591860973,60.50796812749025,81.67930557630122,171.38953132103862,-0.026425639079587282,0.014523492828127038,0.027376315118861294,68.23194591991997,68.23194591991997,136.614,143.0293997290399,130.1986002709601,12.83079945807981,4.100500000000011,0.05000000000001137,4.0504999999999995,4.100500000000011,1.6432499999999988,237279.97079999978,173198.316575,22650529.762499858,-0.8924521399829216,-289036.4819983759,0.15766729617245645,2.7674121486204633,-0.026425639079587282,0.3554705805482161,144.935,138.96499999999997,139.08499999999998,137.995,0.04296045766919754,-0.0008627817521659198,0.007898836914380869,0.00014495379597745384,-0.026425639079587282,0.022685269070483738,0.033433426102241315,140.41699999999997,2.7674121486204633,2.9225382803881685,0,1.2122920510658246,6.198889743566536,1.4000686441005623,140.05,136.35475,128.66500000000002,129.745,-39.49203187250974,1.0291054019427262,0.9735407754933078,-17044.494599999976,-68392.41286819268,34112161.069387235,135.017,145.082,136.88,144.935,131.677,145.082,131.87,144.935,45476540.28096409,188.82591606280096,-0.014096899249693595,0.03627951382513883,-0.08499999999997954,2.0504999999999995,0.0,2.0504999999999995,38.273456347395,16.58516441720453,39.53488372085808,67.1112353430147,138.6245,0,144.935,131.87,13.064999999999998,0.012567221949042764,549281355.7837007,238.6357222884117,25.59905957063352,0,0,185.03528534724504,-112385.83244565754,3.917469664450395e-64,5.527745570022731e-62,4.565000000000026,-3.829999999999984,-9.800000000000011,-0.02678107196081931,-0.40870126799598533,False,False,True,0.5555555555558187,0.5230158730162546,-0.0263139718133969,0,0,1,-22388194.64209187,29732910.98081334,-4174139.7137435935,6930062.201603455,3395033.6264662016,166413280.0,0.0,0.0,0.0,130264080.0,172542270.0,204483600.0,185357810.0,194574670.0,195887000.0,0.8058542415455049,0.6762665563340327,0.12502006926088483,0.09084595488880155,0.6494010586168809,0.5449722728371523,0.10074795309219683,0.07320859807439233,0.45733645521589134,0.08454689171170084,0.06143608106952671,0.01563001771799644,0.01135756757226919,0.008252987519658167,0
2021-01-25 11:00:00-05:00,141.087,142.747,136.517,142.577,398268.7378,141.143,142.783,136.603,142.613,428187.5,142.595,0.036000000000001364,413228.1189,141.115,142.765,136.56,142.595,7660800.0,115200,1,1,4,1,11,0,0,0,0,1.5,69.7,3,142.87833333333333,140.78,138.97208333333333,141.337,139.4235,137.15025,142.02779567450267,141.0177812171468,139.2945225848528,136.47238769089924,2.8221348939535744,2.3666384661395927,75.34860557768927,78.18068847621535,109.26051156960517,0.010559512419828998,0.026121685316446763,0.03348432687080982,71.10032361815273,71.10032361815273,137.15025,143.68780102620323,130.61269897379677,13.075102052406464,6.204999999999984,1.6599999999999682,4.545000000000016,6.204999999999984,2.028571428571427,325343.2362833331,220137.59040833334,23063757.88139986,0.9452054794520587,390585.48224794684,0.2734307133342052,2.5139550513740256,0.010559512419828998,0.2759161627752389,141.10500000000002,144.935,138.96499999999997,139.08499999999998,-0.026425639079587282,0.04296045766919754,-0.0008627817521659198,0.007898836914380869,0.010559512419828998,0.033334541106561755,0.04167579808605448,141.337,2.5139550513740256,2.7674121486204633,1,1.0542864961854614,5.810154954893305,1.6656848958201143,140.54749999999999,136.35475,128.56,129.745,-24.65139442231072,1.0454379027533685,1.0104878999397653,-29918.762199999997,-64028.925414445526,34502746.55163518,135.017,145.082,136.88,144.935,131.727,145.082,131.935,144.935,58404422.6409693,178.743017714183,0.018243640357769486,0.04752984389348014,-2.2200000000000273,4.3245000000000005,0.0,4.3245000000000005,30.8978873239436,28.661971830985884,3.7540644398399414,60.7639061533764,145.07,0,144.935,131.935,13.0,0.012607691014489265,549694583.9026006,238.5635245113711,25.599509004974255,0,0,200.65470425418027,-129887.24869787513,3.917469664450395e-64,5.586115868023041e-62,5.7050000000000125,1.4899999999999807,5.319999999999965,0.010504150159841082,-0.4022766041369278,False,True,False,-0.3571428571429659,0.4765873015874392,-0.036201266118630525,0,0,0,-21850780.677660942,41922735.258918285,-37268.377171330154,5645564.85629343,3366993.6976394467,167664350.0,0.0,0.0,0.0,118681310.0,176581900.0,200741950.0,187874350.0,196738430.0,195242600.0,0.95847875877139,0.7043507568525154,0.4107654569448542,0.13833460671190406,0.9186815310159444,0.675105239167688,0.3937099653186667,0.1325907821363542,0.4961099886787112,0.2893229604879774,0.09743608493642468,0.1687282606191149,0.05682307793730197,0.019136463414137172,0
2021-01-25 12:00:00-05:00,142.577,142.938,140.907,142.417,311213.7756,142.603,142.963,140.932,142.433,330345.0012,142.425,0.015999999999991132,320779.3884,142.59,142.95049999999998,140.9195,142.425,7664400.0,111600,1,1,4,1,12,0,0,0,1,2.5,69.7,3,142.04166666666669,141.51833333333332,139.4625,142.00500000000002,139.9305,137.67475,142.22639783725134,141.41984372653343,139.77613449487546,136.9133219360178,2.862812558857655,2.465873284683205,73.65537848605594,69.83731739707851,132.7109650661128,-0.0011921876643640195,-0.01731810811743184,0.032102612413493326,70.15453959444847,70.15453959444847,137.67475,144.13328370593823,131.21621629406175,12.917067411876474,2.0309999999999775,0.35549999999997794,1.6754999999999995,2.0309999999999775,2.103285714285712,352625.0915333331,257512.55289166668,22742978.49299986,0.4825209256524163,154782.76742098396,0.31746858423522817,2.1886639761111435,-0.0011921876643640195,-0.22372323245111092,142.595,141.10500000000002,144.935,138.96499999999997,0.010559512419828998,-0.026425639079587282,0.04296045766919754,-0.0008627817521659198,-0.0011921876643640195,0.024014092101952267,0.03691165228786719,142.00500000000002,2.1886639761111435,2.5139550513740256,1,1.0661722825021507,5.757461201662252,1.4709995228893658,140.815,136.35475,128.56,129.745,-26.344621513944062,1.0144124837229764,0.9988428361035137,-19131.225600000005,-64411.35464427824,34657529.31905617,136.017,145.082,136.88,144.935,131.727,145.082,132.0,144.935,45552277.049742006,153.54471357103222,-0.013908374777845567,0.043100922806503794,0.18549999999999045,-4.359499999999997,0.18549999999999045,0.0,30.430279155063428,26.45520614005298,6.987851108909707,55.19205968001408,144.985,0,144.935,132.0,12.935000000000002,0.012637899130522913,550015363.2910006,238.50745470104818,25.599857335505117,0,0,200.8392970118637,-135475.48206110107,3.917469664450395e-64,5.579456169593476e-62,5.069999999999993,-0.1699999999999875,-1.6599999999999682,-0.001192898885406381,-0.40284885359864564,False,True,False,-0.5555555555558187,0.33690476190513696,-0.029819910960339,0,0,1,-21630121.66587794,29861131.003978416,-4175801.562329393,7258144.025808935,3409750.0310526565,166860510.0,0.0,0.0,0.0,130300110.0,173074700.0,204932100.0,185848460.0,195041780.0,196321570.0,0.9081542041959051,0.7147100450415589,0.466171829271748,0.13417255772356398,0.8247440585986977,0.6490669321855363,0.4233559066308336,0.12184937238437239,0.5108104484833071,0.3331776890959169,0.09589447477394958,0.21731617440656775,0.06254746667206303,0.01800227524608311,0
2021-01-25 13:00:00-05:00,142.408,143.278,142.157,142.648,227947.2198,142.432,143.303,142.182,142.682,246294.9982,142.665,0.033999999999991815,237121.109,142.42,143.2905,142.1695,142.665,7668000.0,108000,1,1,4,1,13,0,0,0,1,3.5,69.7,3,142.56166666666664,142.115,139.94375,142.745,140.509,138.19875,142.44569891862568,141.7756026618096,140.2205753418177,137.33937216297946,2.881203178838234,2.548939263514211,76.0458167330677,75.01660026560431,131.1136820041053,0.0016850974196944701,0.011055596895928277,0.025739655606284106,70.78830260018412,70.78830260018412,138.19875,144.48003119257666,131.91746880742332,12.562562385153342,1.1210000000000093,0.8654999999999973,0.25550000000001205,1.1210000000000093,2.1436428571428547,323709.5387666665,280494.75478333334,22980099.60199986,-0.11596788581625583,-27498.433693135954,0.2925127983359244,1.3799456512210981,0.0016850974196944701,-0.26079692905855045,142.425,142.595,141.10500000000002,144.935,-0.0011921876643640195,0.010559512419828998,-0.026425639079587282,0.04296045766919754,0.0016850974196944701,0.026625409275716994,0.04226329631794279,142.745,1.3799456512210981,2.1886639761111435,0,1.068389672296702,5.756431046918459,1.4220824902022544,140.815,136.81,128.511125,129.745,-23.9541832669323,1.0078849542271726,1.0017202640078642,-18347.77840000001,-64011.78247534725,34630030.885363035,136.517,145.082,137.345,144.935,131.947,145.082,132.0,144.935,33847852.704205,97.68401033044724,0.010426123784665453,0.04218715757177294,0.34000000000003183,-1.25,0.34000000000003183,0.0,30.072306820832317,25.957149045350043,7.34463276834839,49.633452545796956,144.81650000000002,1,144.935,132.0,12.935000000000002,0.01263974444562477,550252484.4000006,238.4661531716734,25.60011517823397,0,0,203.95548247621335,-137218.4002762603,3.917469664450395e-64,5.588858096788156e-62,5.784999999999997,0.23999999999998067,0.40999999999996817,0.0016836792359991417,-0.4017389969078987,False,True,False,1.1250000000006661,0.08690476190487054,-0.03868862303608745,0,0,0,-21482306.87403083,18935959.520615987,-7973493.711306259,9077839.922900837,3409053.2265058775,166186900.0,0.0,0.0,0.0,140721740.0,169936180.0,208811620.0,183930060.0,193629580.0,197349860.0,0.9418763227459224,0.7193935423072755,0.49609974549038593,0.1385211765312726,0.8871310073493809,0.6775797442355398,0.46726460399767267,0.1304698163737138,0.5175270687134098,0.35689095324606657,0.09965123986940363,0.2461149574756257,0.06872032042219316,0.01918811634760799,0
2021-01-25 14:00:00-05:00,142.657,142.988,141.777,142.688,205569.1681,142.683,143.003,141.802,142.702,221207.5043,142.695,0.014000000000010004,213388.33620000002,142.67000000000002,142.9955,141.78949999999998,142.695,7671600.0,104400,1,1,4,1,14,0,0,0,0,4.5,69.7,3,142.595,142.73666666666665,140.38875,142.297,141.044,138.7335,142.57034945931284,142.03828761557827,140.60125605846113,137.7360853360921,2.8651707223690437,2.6121855552851776,76.3446215139442,75.3486055776893,109.14945591827569,0.00021028283040691598,0.0007012868613907042,0.026841290972547283,70.0553926296463,70.0553926296463,138.7335,144.60011302799327,132.8668869720067,11.733226055986563,1.2060000000000173,0.3305000000000007,0.8755000000000166,1.2060000000000173,2.186892857142855,257096.27786666644,291219.75707500003,23193487.93819986,0.501658374792711,107048.04593781264,0.3399349866486104,0.6745146405568857,0.00021028283040691598,-0.10008713648517886,142.665,142.425,142.595,141.10500000000002,0.0016850974196944701,-0.0011921876643640195,0.010559512419828998,-0.026425639079587282,0.00021028283040691598,-0.015455204056991079,0.038953001565400935,142.297,0.6745146405568857,1.3799456512210981,1,1.0577338686283722,5.811028000431815,1.350523711414816,140.815,137.4375,128.893625,129.745,-23.655378486055795,1.0085055663501177,1.0001752295507114,-15638.33619999999,-63966.910572035296,34737078.93130085,136.517,145.082,137.97500000000002,144.935,133.577,145.082,134.875,144.935,30364520.076251402,47.25338797865738,0.009285788133895911,0.03887736158130384,-0.2950000000000159,0.3800000000000239,0.0,0.3800000000000239,28.760635604984248,26.68495745758014,3.7436305263399117,43.4854249179741,144.65137000000001,0,144.935,134.875,10.060000000000002,0.012609328237915173,550465872.7362006,238.42902744228047,25.60034720617693,0,0,200.7206599065307,-139888.77982347977,3.917469664450395e-64,5.590033337687491e-62,5.349999999999994,0.030000000000001137,-0.20999999999997954,0.0002102607240715349,-0.40152001821781547,True,False,False,-0.5882352941172537,0.03592436974808646,-0.03664290297793696,0,0,0,-21288460.524541736,15714562.612553036,-9118660.254416263,9793155.411798649,3404558.4113184344,166112830.0,0.0,0.0,0.0,143827340.0,169129120.0,210096510.0,183430580.0,193344020.0,197767440.0,0.9028786584940038,0.7153105931671448,0.5281729371193868,0.13900952586551704,0.815189871963932,0.6458386687653019,0.4768760729191898,0.12550873423134556,0.5116692446971326,0.3778076969457017,0.09943498640274656,0.27896665150531974,0.0734210695639635,0.01932364828135585,0
2021-01-25 15:00:00-05:00,142.667,143.118,141.737,142.858,243933.6853,142.693,143.143,141.762,142.912,253395.0043,142.885,0.054000000000002046,248664.34480000002,142.68,143.13049999999998,141.7495,142.885,7675200.0,100800,1,1,4,1,15,0,1,0,0,5.5,69.7,3,142.74833333333333,142.395,140.88916666666668,142.653,141.53500000000003,139.134,142.72767472965643,142.28020543969876,140.95260128023634,138.11748642230748,2.8351148579288576,2.6567714158139135,78.23705179282865,76.87583001328021,98.06438230070145,0.0013315112652860783,0.0032297700544143826,-0.014144271570014189,69.73987487009315,69.73987487009315,139.134,144.9851425784076,133.28285742159238,11.702285156815208,1.3809999999999718,0.43549999999999045,0.9454999999999814,1.3809999999999718,2.2219285714285673,233057.9299999998,292841.5107666667,23442152.28299986,0.6444605358435949,160254.35689500446,0.3415083360612044,0.16664333267299045,0.0013315112652860783,0.16531366816102477,142.695,142.665,142.425,142.595,0.00021028283040691598,0.0016850974196944701,-0.0011921876643640195,0.010559512419828998,0.0013315112652860783,0.012614719535097851,0.03558615691248401,142.653,0.16664333267299045,0.6745146405568857,1,1.349410277004285,8.40259443888304,1.2821427438265707,140.815,138.07,129.38,129.745,-21.762948207171355,1.009742538774387,1.0014367816091954,-9461.318999999989,-63635.81119565912,34897333.288195856,136.517,145.082,137.995,144.935,134.788,145.082,135.98000000000002,144.935,35472714.7787544,11.621685168549659,0.010721300110728471,0.04387054354178832,0.1349999999999909,0.03999999999996362,0.1349999999999909,0.0,26.682097277140187,26.26418491014894,0.7893139040663086,37.02322143958798,144.48954260000002,0,144.935,135.98000000000002,8.954999999999984,0.011898844213392674,550714537.0810006,238.3858864111586,25.600617883487153,0,0,197.72055543430045,-141394.22706166888,3.917469664450395e-64,5.597476530049947e-62,4.909999999999968,0.18999999999999773,0.1599999999999966,0.0013306255902649584,-0.400614683398003,True,False,False,2.857142857140247,0.4962418300649721,-0.019024277500680076,0,0,0,-20989126.122591972,20542790.300178684,-7490827.143385004,9356162.628718346,3389730.938662296,166601710.0,0.0,0.0,0.0,139369500.0,170729810.0,208673600.0,184426300.0,194210200.0,197552800.0,0.8860901631164031,0.7076563346879302,0.5541546059782205,0.1426129424377527,0.7851557771716539,0.627047317033984,0.4910309452029475,0.12636792542717848,0.5007774880239559,0.3921510173169817,0.10092095212456084,0.3070873273268768,0.07902961892398748,0.02033845135075376,0
2021-01-26 09:00:00-05:00,143.617,144.278,141.367,143.017,181611.8927,143.683,144.303,141.412,143.043,193854.9957,143.03,0.02600000000001046,187733.4442,143.64999999999998,144.2905,141.3895,143.03,7740000.0,36000,1,0,4,1,9,1,0,1,0,0.0,67.4,3,142.87,142.71583333333334,141.36291666666668,142.74,142.0385,139.4865,142.8788373648282,142.49443245692768,141.2722010832769,138.48137631695138,2.790824766325528,2.6835820859162367,77.44610281923727,77.34259204200339,93.55649081173468,0.0010148021135878427,0.0025584411032839594,0.013642323092732278,69.08846282564923,69.08846282564923,139.4865,145.38683638641533,133.5861636135847,11.800672772830637,2.9010000000000105,1.4055000000000177,1.4954999999999927,2.9010000000000105,2.247714285714283,216595.3750666665,270152.4569166667,23629885.72719986,0.13098931402964292,24591.07507618025,0.32059461863524286,0.23021728936824365,0.0010148021135878427,-0.24503271930282788,142.885,142.695,142.665,142.425,0.0013315112652860783,0.00021028283040691598,0.0016850974196944701,-0.0011921876643640195,0.0010148021135878427,0.003050597847049419,0.03648682923294322,142.74,0.23021728936824365,0.16664333267299045,0,1.4651497433434097,8.848203202803,1.2011179593619097,140.815,138.37975,129.5925,129.745,-22.553897180762725,1.0205177895105366,0.995683954054995,-12243.103000000003,-63445.298899693815,34921924.36327203,136.517,145.082,138.96499999999997,144.935,135.017,145.082,136.075,144.935,26797071.825108003,15.905358638339633,0.008008370645051333,0.04139211474753357,1.160000000000025,0.36000000000001364,1.160000000000025,0.0,30.062285496377335,21.46625143002425,16.68208448963756,34.0117825786593,144.33095174800002,0,144.935,136.075,8.860000000000014,0.011840661781665035,550902270.5252006,238.35339155691946,25.60082239478114,0,0,192.81379312118244,-142606.90469825448,3.544673136415513e-64,5.069945987015109e-62,5.034999999999997,0.14500000000001023,-0.044999999999987494,0.001014287550013683,-0.39992462844463433,False,False,True,-0.5185185185183431,0.46396669778989663,-0.03260767694369078,0,0,0,-20864369.121141672,12471598.892037438,-10371645.642685313,10731517.934886623,3446380.388526161,166147680.0,0.0,0.0,0.0,147090190.0,168400260.0,211593810.0,183040480.0,193198270.0,198344450.0,0.8514289506618389,0.6963770780265677,0.5732766905002187,0.14468632346314025,0.72493125802512,0.592915604809118,0.48810437103149296,0.1231901245613409,0.48494103480082035,0.39921674663128326,0.10075623916366842,0.3286461638708835,0.08294529667559318,0.02093413219728045,0
2021-01-26 10:00:00-05:00,143.027,143.197,141.887,142.648,282931.7932,143.043,143.223,141.912,142.672,301554.9927,142.66,0.02400000000000091,292243.39295,143.035,143.21,141.8995,142.66,7743600.0,32400,1,0,4,1,10,0,0,1,0,0.5,67.4,3,142.85833333333332,142.72666666666666,141.75333333333333,142.787,142.396,139.81575,142.76941868241408,142.54173746923405,141.48570860892661,138.79090399717722,2.6948046117493902,2.6858265910828676,71.68037602820212,75.78784354675604,75.91783018842783,-0.0025868698874362828,-0.0002452783909737688,0.00045583645990388,69.57994579285833,69.57994579285833,139.81575,145.64906653875218,133.98243346124784,11.666633077504343,1.3105000000000189,0.18000000000000682,1.130500000000012,1.3105000000000189,2.224571428571427,242880.39398333314,249988.33592500002,23337642.33424986,0.1606257153758055,46941.80405644639,0.31134711544376914,0.16441563284524338,-0.0025868698874362828,0.55669329029441,143.03,142.885,142.695,142.665,0.0010148021135878427,0.0013315112652860783,0.00021028283040691598,0.0016850974196944701,-0.0025868698874362828,0.0016499912234508862,0.025703706366610568,142.787,0.16441563284524338,0.23021728936824365,0,1.488047145516832,8.742096531638182,0.9751742361673438,140.815,138.40475,129.62124999999997,129.71724999999998,-28.319623971797874,1.0092354095680396,0.9973782640612437,-18623.199499999988,-64201.29453271836,34968866.16732848,136.517,145.082,138.96499999999997,144.935,135.017,145.082,136.125,144.935,41728557.349151656,11.44003082087053,-0.012367533060627656,0.03395542670773666,-1.0805000000000007,-0.5099999999999909,0.0,0.0,30.08765733367592,21.68957102491661,16.219652103779346,31.47307536874545,144.2905,0,144.935,136.125,8.810000000000002,0.011891059276949676,551194513.9181507,238.30265491000927,25.60113984971889,0,0,187.5043588078672,-142820.36549478423,3.544673136415513e-64,5.056830696410371e-62,3.575000000000017,-0.37000000000000455,-0.5150000000000148,-0.0025902216169167223,-0.4013495147426159,False,False,True,-0.07692307692341327,0.5596931935163777,-0.03186248166641398,0,0,0,-20458075.361212373,26403024.618900493,-5526836.01535365,8404635.520462189,3453763.438998799,167147540.0,0.0,0.0,0.0,134069190.0,172539070.0,206881020.0,185678220.0,195173180.0,197248420.0,0.877580440628188,0.6719238441559349,0.556114487217319,0.1364586812899839,0.7701474297731645,0.5896672232229512,0.48803519673189366,0.11975346965400553,0.45148165234528903,0.37366658404186753,0.09168984170081552,0.3092633228929817,0.07588664957193096,0.0186209716994014,0
2021-01-26 11:00:00-05:00,142.678,143.158,141.827,141.908,219841.1407,142.702,143.183,141.843,141.932,232304.9927,141.92,0.02400000000000091,226073.0667,142.69,143.1705,141.83499999999998,141.92,7747200.0,28800,1,0,4,1,11,0,0,1,0,1.5,67.4,3,142.53666666666666,142.64249999999998,142.08041666666665,142.63799999999998,142.6915,140.1035,142.34470934120702,142.36409819231002,141.55252266909173,139.0226888862752,2.5298337828165245,2.654628029429599,62.98472385428896,70.70373423390946,61.749172547509154,-0.005187158278424309,-0.006753683031808788,-0.003545725820607526,65.21449949509143,65.21449949509143,140.1035,145.74311374183293,134.46388625816707,11.279227483665863,1.3355000000000246,0.5105000000000075,0.825000000000017,1.3355000000000246,2.2692142857142863,235349.96794999982,234203.94897499998,23111569.26754986,-0.8727068513665198,-197295.5142185302,0.2231920295148338,0.4283485733890272,-0.005187158278424309,-0.2264219751285228,142.66,143.03,142.885,142.695,-0.0025868698874362828,0.0010148021135878427,0.0013315112652860783,0.00021028283040691598,-0.005187158278424309,-0.005222023621771266,0.021264347137768702,142.63799999999998,0.4283485733890272,0.16441563284524338,0,1.511351759315675,8.458366918755718,0.644193054047568,140.7725,138.40475,129.7785,129.71724999999998,-37.015276145711034,1.0094158705538128,0.9946036863129861,-12463.852000000014,-65373.97131218003,34771570.653109945,136.517,145.082,141.10500000000002,144.935,135.017,145.082,136.125,144.935,32246610.087954596,27.93453782300185,-0.009687056792717197,0.028443059531142234,-0.039500000000003865,0.06450000000000955,0.0,0.06450000000000955,29.49573483584632,21.465894425383333,15.756639901142517,29.10399243632867,144.2905,0,144.935,136.125,8.810000000000002,0.012008231950508572,551420586.9848506,238.26313965996877,25.60138408343932,0,0,164.98184395215347,-148347.54961547485,3.544673136415513e-64,5.030600115200896e-62,2.9550000000000125,-0.7400000000000091,-0.37000000000000455,-0.005200658288622784,-0.40435604012212073,False,True,False,0.0,0.3346931935162445,-0.02756598161367802,0,0,0,-20318596.446255088,17474604.966118127,-8567966.05472621,9439682.013869558,3476921.370833885,166465900.0,0.0,0.0,0.0,142604220.0,169810130.0,209868590.0,184052900.0,193851220.0,197947100.0,0.6452978740461447,0.6299110992323808,0.5892205892290884,0.12369622010012317,0.41640934624847403,0.4064802931727254,0.38022279357374744,0.07982090785815348,0.39678799293614625,0.37115658905164617,0.0779176219741591,0.3471809027714741,0.07288435969280557,0.015300754867058116,0
