Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,RFECV_Ranking,SHAP_Importance,Correlation_With_Target
Open_BID,12.991926236704703,0.016004750479941432,1,68,0.0005436757887679223,-0.04943539885290704
High_BID,13.052562397250837,0.027365754268272813,10,51,0.009008881323728544,-0.04960932161645104
Low_BID,12.66414896616417,0.01916637918040509,7,39,0.0058225843562523015,-0.048861304188811516
Close_BID,12.516598656666034,0.015328723152836288,10,15,0.008775609543083176,-0.04859691197452776
Volume_BID,4.419288109503172,0.0,7,43,0.005640128707289652,-0.028887421574659067
Open_ASK,12.998421093474276,0.018642603916705358,5,66,0.006091259481064102,-0.049445076200818505
High_ASK,13.06934082112988,0.02716914064294218,3,64,0.0023990346536388652,-0.049620210603467996
Low_ASK,12.704461996842214,0.014315375728117585,5,57,0.0021131004990451213,-0.04887396520791043
Close_ASK,12.534651792389452,0.014668145894536133,2,50,0.002514075821368675,-0.04860375005982576
Volume_ASK,5.817038101449137,0.0,8,52,0.005568183775450922,-0.03314630906627902
Mid_Price,12.541873889626155,0.015697900914022123,6,64,0.008086277918464871,-0.04860034548326819
Spread,0.14876253156938776,0.008570394764485956,0,87,0.0,-0.005291503885018756
Volume,5.156778262569665,0.0029062214938875286,0,87,0.0,-0.031193843358398254
Open_Mid,12.9776299571895,0.016439914685426826,1,68,0.0020663316544428127,-0.04944027554587649
High_Mid,13.049188110968288,0.027245696428767507,8,34,0.012045948429808951,-0.0496147703900327
Low_Mid,12.678022136260505,0.01985516651729613,1,67,0.000673999573540324,-0.04886764188561443
Close_Mid,12.541873889626155,0.015494364828320784,0,86,0.0,-0.04860034548326819
Unix_Diff_Since_Earnings,10.751736854400757,0.00593560448669872,85,9,0.05531974948064689,0.045038381641802516
Unix_Diff_Until_Earnings,11.841969966606962,0.009529443431990137,92,1,0.09997552386671554,-0.047257457040927875
Month,0.48396776204603137,0.020727127873525486,22,30,0.017020856408051586,0.009553376794428914
Day_Type,3.2486950519658473,0.0035282736429973482,7,49,0.011805535763022231,0.02477350450499216
