Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,RFECV_Ranking,SHAP_Importance,Correlation_With_Target
Open_BID,41.26086928876656,0.0408584009299926,2,43,0.0016413033234162812,-0.08816130666033395
High_BID,41.84640716288581,0.03091206299842386,3,36,0.01660574604685791,-0.08877263576560779
Low_BID,40.67839790352664,0.045400138555877545,17,16,0.03125476279607576,-0.08750507166489907
Close_BID,40.87056673137227,0.050810295160574004,8,23,0.015315471952561693,-0.08771890360827883
Volume_BID,17.847460362953804,0.004451842691497898,5,45,0.0036598701012311007,-0.05809163299230302
Open_ASK,41.28534199716582,0.040216968272626774,2,61,0.003540148402946009,-0.08818488906181088
High_ASK,41.899976248496486,0.036685863643401984,0,86,0.0,-0.0887848651237233
Low_ASK,40.68541580257557,0.04049622348377824,1,69,0.0006147054724156825,-0.08750330348771485
Close_ASK,40.8985957543139,0.04915988237610791,2,56,0.004816224450192233,-0.08772787222712708
Volume_ASK,16.450129552887397,0.012935154911599245,0,86,0.0,-0.05578463897221653
Mid_Price,40.89480892858087,0.04844625704150385,7,36,0.010478468810601958,-0.08772341185576238
Spread,0.2735856484200729,1.816005583288316e-05,0,85,0.0,-0.007196636115622823
Volume,17.336974033057164,0.009500644813169368,2,49,0.0011724009092834945,-0.05725846693478864
Open_Mid,41.320160039232285,0.037900462637327825,1,68,0.0009456423804483464,-0.08817317443185857
High_Mid,41.8674176607564,0.03288716713455209,1,68,0.0004337208732558504,-0.08877876021745834
Low_Mid,40.66452471084752,0.044482759521625725,1,64,0.0023565990743473716,-0.08750421022752164
Close_Mid,40.89480892858087,0.05067375018131859,0,85,0.0,-0.08772341185576238
Unix_Diff_Since_Earnings,51.76369959514187,0.0,95,1,0.08370462279079328,0.0986216218204845
Unix_Diff_Until_Earnings,51.78853535363315,0.0,97,3,0.07553071868334614,-0.09864867106671227
Month,0.0389594456548642,0.05027566435189379,33,20,0.0411031628336895,-0.002742445614785538
Day_Type,0.02420627242961803,0.0,4,51,0.0016340084807792343,0.0021429860789794475
Week_of_Year,0.05407467500492686,0.09129201945916843,122,4,0.16886198055295468,-0.003238027021779999
Quarter,0.7222143297944692,0.006154732958951081,0,82,0.0,0.01171250067272922
Hour,0.09358774863602579,0.00042071878847060873,1,67,0.00032425485208771295,-0.004169251617355485
Is_Open_Hour,0.01893218069626171,0.0017011386293483977,0,84,0.0,0.001896179368486628
Is_Close_Hour,0.07917228472285749,0.0,0,84,0.0,-0.0038755962159484625
Day_of_Week,0.2819281537685951,0.0,10,32,0.00588305840498191,-0.007314988092730346
Is_Lunch_Time,0.25141796886085116,0.0,0,82,0.0,-0.006907557544764131
Time_Since_Open,0.09441936759806867,0.0,0,83,0.0,-0.0042189196424260444
score,6.384044056354381,0.5058741570311176,154,2,0.12486289763147129,-0.03478527697052414
rating,10.563920940721513,0.0038209135932820715,0,83,0.0,-0.0447282523400645
SMA_3,41.29783780455502,0.054303567694557575,2,41,0.0017706957931834745,-0.0881629528573491
SMA_6,41.944480549749436,0.05477612880514959,6,58,0.004611727693920746,-0.08884662307707458
SMA_12,43.18561821723891,0.06783984574388113,6,34,0.0043494388934851,-0.09016279793648607
SMA_5,41.64698025451502,0.056116965177305245,2,56,0.003935242258920303,-0.08856995990208816
SMA_10,42.847364617633296,0.05470349072950409,4,47,0.002327643008738354,-0.08981050820692285
SMA_20,44.49776666981281,0.042410303044201125,27,22,0.027846347314541775,-0.09150479540861056
EMA_3,41.341924492677435,0.061615755283818574,3,48,0.005242500098040842,-0.08820812519277865
EMA_6,41.96281557867178,0.052738523935409454,8,33,0.00814134438461322,-0.08888720895162233
EMA_12,43.100725046437006,0.04460386950424167,7,22,0.011109392958867363,-0.09009473240434396
EMA_26,45.70168799830923,0.046083286626410036,38,4,0.19386686165458186,-0.09274408679054602
MACD,7.503693343590826,0.0027033320324423293,15,27,0.010255518033046527,0.03770707675255913
Signal_Line,8.324137598017844,0.01572785615990635,46,6,0.021386531414378785,0.03971188216331978
%K,1.8915896053938401,0.011198085399900526,17,23,0.01789877948593832,0.01894633863967954
%D,2.467525682105892,0.005211340864890612,10,44,0.013552359399595527,0.021631036083761046
CCI,3.392452047899308,0.005430905596039315,11,32,0.008986159945655759,0.025363615966174535
Return_1H,0.4628859351602647,0.0,1,58,0.0012067783215556958,0.00937156902183034
Return_3H,0.44989233137347295,0.0,14,28,0.034603617132016345,0.009239111698963853
Return_6H,1.6108054418465088,0.0,25,17,0.0411181690855379,0.01748038766050186
RSI_long,7.575123678027803,0.01439204745348599,8,42,0.006589620991591805,0.03787930496713443
RSI_short,7.575123678027803,0.014071669382728524,0,79,0.0,0.03787930496713443
