Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,RFECV_Ranking,SHAP_Importance,Correlation_With_Target
Open_BID,42.33248228582378,0.041881094656429196,6,33,0.006983764787458524,-0.08928396391328874
High_BID,42.92385033108971,0.02968585427535375,9,42,0.008909581985387443,-0.08989421377991036
Low_BID,41.736554873123055,0.04316331637810178,16,12,0.031030789698298526,-0.08860403989800858
Close_BID,41.95381942243047,0.047101835443064344,10,17,0.008535291935848002,-0.08884276208388542
Volume_BID,16.316584181543234,0.0021995119534989893,1,67,0.0007525023044455514,-0.05555534287310393
Open_ASK,42.32261909594053,0.03722646579248168,1,68,0.001404850198812738,-0.0893011239015582
High_ASK,42.961050801759356,0.03811942886444175,0,86,0.0,-0.0899064388957278
Low_ASK,41.70867410154721,0.041351256084952936,1,67,0.0030529532833628993,-0.08859886081601509
Close_ASK,41.961653661767045,0.04391590638395071,9,31,0.05554457180105982,-0.0888368893272542
Volume_ASK,15.303709298507735,0.012239621804435608,6,57,0.007293941935291353,-0.053803753450985425
Mid_Price,41.920501230094615,0.04885490849957863,4,49,0.026609470168022165,-0.08883984169823833
Spread,0.05030090215763644,0.0,0,86,0.0,0.003090603715463658
Volume,15.984867421454885,0.015617110366003883,1,64,0.0008518061152846886,-0.05498742120098443
Open_Mid,42.37287172885511,0.03574128576811786,3,48,0.011189114334539544,-0.089292618609079
High_Mid,42.94750438208899,0.0373463168742294,3,46,0.009810689964703847,-0.08990034088862364
Low_Mid,41.69702839128767,0.04666551111747563,7,48,0.013718899393241748,-0.08860145935870811
Close_Mid,41.920501230094615,0.04814291499961665,0,85,0.0,-0.08883984169823833
Unix_Diff_Since_Earnings,43.841898351722214,0.0,108,1,0.08130531533238396,0.09082349629147757
Unix_Diff_Until_Earnings,43.79051811689012,0.0,76,9,0.0581267087084748,-0.0907688769680135
Month,0.1210199801641593,0.03951506340439748,37,19,0.04869970820122409,-0.004805261844012421
Day_Type,0.13409596003425392,0.0,4,61,0.0019835348132896447,-0.00504337677557487
Week_of_Year,0.13678894041013698,0.09309086486718443,133,3,0.18108382929799446,-0.005071736539775884
Quarter,0.4479454090019218,0.010223083883950768,0,85,0.0,0.009233697972376831
Hour,0.039305816862340505,0.0,2,65,0.0011397012829865028,-0.00280498892976766
Is_Open_Hour,0.06539990517361506,0.0,0,83,0.0,0.0035224560197093524
Is_Close_Hour,0.054529410976235246,0.0005686799371626972,0,83,0.0,0.0032163996365852654
Day_of_Week,0.21108862863771713,0.0,20,20,0.02522499895855799,0.0063368161058861006
Is_Lunch_Time,0.7531117041517136,0.0,1,65,0.0004957548463348654,-0.011951899832638446
Time_Since_Open,0.03592244792105674,0.006772445811558336,0,84,0.0,-0.0026309181284887018
score,6.428073928569827,0.5067009568179299,128,1,0.09168599535048137,-0.034900579316811786
rating,9.95643978236739,0.02069066160884092,0,84,0.0,-0.04342227410052146
SMA_3,42.302497601375315,0.050672727522536265,3,66,0.004645288225845276,-0.08921743235378443
SMA_6,42.921505702722484,0.05418963739316229,5,44,0.014373957726247338,-0.08989912457971627
SMA_12,44.321261415732295,0.0635364286124438,14,23,0.021114135762643493,-0.09130722260501045
SMA_5,42.69168888904119,0.05707580056497252,2,66,0.002553997917357442,-0.08960995023886653
SMA_10,43.938257797343816,0.05115848327888273,5,57,0.003206566741054786,-0.09091539317268627
SMA_20,45.563182180395856,0.03971312767952351,24,18,0.030078106325332185,-0.09257306627402784
EMA_3,42.33016465109286,0.05061029453173771,5,41,0.012896350158355718,-0.08927958832539229
EMA_6,42.999730756669386,0.04707950027610841,7,59,0.009592730323919272,-0.08996301698803677
EMA_12,44.24275015981247,0.04494738394811759,3,59,0.0041164070924101705,-0.09120801085549068
EMA_26,47.0020363332176,0.04563283897243453,24,1,0.18411496926796225,-0.09401783151425036
MACD,8.615734325301652,9.064933440150469e-05,19,26,0.011834660709637103,0.04039656659344715
Signal_Line,9.788860958310215,0.016885921502790557,54,6,0.03260180727508064,0.043054215879808844
%K,1.7315037834736111,0.012116479013188464,13,21,0.026081320763738605,0.018129928393037176
%D,2.8384168588262693,0.0072248472319875745,4,52,0.0029823953674104047,0.023190904825739267
CCI,3.103619280384875,0.0013997316591765063,17,27,0.020259812989564314,0.024258242360051696
