Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,RFECV_Ranking,SHAP_Importance,Correlation_With_Target
Open_BID,18.986203070807996,0.034531172975506674,10,33,0.008051370840728406,-0.05980716952155074
High_BID,19.13507676363971,0.03620022627699426,8,23,0.006498413956178798,-0.060062082946501505
Low_BID,18.465755700348534,0.030236228632683604,10,41,0.008528762842498202,-0.059001737381109365
Close_BID,18.426880249049773,0.03239679249561234,9,1,0.0055660343073289575,-0.058943401148383145
Volume_BID,8.269253275576785,0.0014110880254605274,7,36,0.009868418267518008,-0.039523098754898456
Open_ASK,18.995397617275408,0.029733417926726124,1,57,0.0024422213270237437,-0.0598003397826119
High_ASK,19.1356642811778,0.037992380801257886,1,63,0.0010303656161622411,-0.06006804965329593
Low_ASK,18.465126274763414,0.024997874204553128,2,59,0.002969175153721428,-0.05899481521048067
Close_ASK,18.439259618608695,0.027540738957342548,3,48,0.004620801697524318,-0.05892860889780138
Volume_ASK,9.52819444101028,0.007186821037150848,1,62,0.001098169041807199,-0.042415616467371464
Mid_Price,18.441819873942784,0.03165267758114387,0,84,0.0,-0.05893600846461311
Spread,0.48891866347037594,0.016589950361244332,3,56,0.001116168456746205,0.009618824328754272
Volume,8.990282914806652,0.003364589681746466,3,58,0.001630744747083832,-0.041201810011763484
Open_Mid,19.00202919827721,0.030880321023667223,0,85,0.0,-0.05980380610801461
High_Mid,19.14070348037246,0.03253647625872258,2,57,0.0015497764352850477,-0.06006507267122174
Low_Mid,18.46405284286233,0.033078315477057973,0,85,0.0,-0.05899829325682049
Close_Mid,18.441819873942784,0.029537918270569286,0,84,0.0,-0.05893600846461311
Unix_Diff_Since_Earnings,17.941425320462624,0.008448019608376711,81,1,0.04868266138458361,0.058152633005079224
Unix_Diff_Until_Earnings,19.224975793468552,0.023045336076462197,93,1,0.06186912862954807,-0.060194405078050295
Month,0.8177383956946843,0.01613492084515622,22,25,0.029878307081679333,0.012441758801287506
Day_Type,0.47004308266253075,9.49449776126432e-05,7,38,0.005149581684037761,0.009428496872715186
Week_of_Year,0.8695724320718526,0.05025988568236284,105,3,0.09844352058783393,0.012830698512061645
Quarter,2.8689727662832696,0.0,0,81,0.0,0.023283408641873393
Hour,0.5352487464906943,0.003768442676895356,0,80,0.0,-0.01008968239261776
Is_Open_Hour,0.009744483206926717,0.0,0,83,0.0,0.0013564577384386212
Is_Close_Hour,0.024182177533383385,0.0,0,82,0.0,0.0021379688987508416
Day_of_Week,0.9072884472832827,0.0,17,20,0.015551687099490724,-0.013101213639856724
Is_Lunch_Time,0.12100821930300025,0.0137026096798476,0,82,0.0,-0.00478537935850909
Time_Since_Open,0.5844935414349731,0.010168434469740806,0,81,0.0,-0.0105079701561408
score,5.8231652088334664,0.447440578187835,164,1,0.11820573842377853,-0.03316543974389674
rating,18.316088751002432,0.0018650152629688943,0,83,0.0,-0.05875837773055537
SMA_3,18.83551929008939,0.045799673183814615,11,45,0.007671785008919545,-0.05963016304603741
SMA_6,19.52986082781929,0.03741174243824319,3,37,0.002569346881685321,-0.0606685294584679
SMA_12,20.022058388287366,0.05014792245083788,12,24,0.016529380760782933,-0.061461548867491445
SMA_5,19.35922330889912,0.042496363644974,1,62,0.00034353611024472283,-0.0603871212164222
SMA_10,19.977403120928656,0.05003200478485703,3,47,0.012066251231971241,-0.06133973017975336
SMA_20,20.12897130924878,0.032536341348036846,12,35,0.013155301872759206,-0.061616582466967884
EMA_3,18.834552613954063,0.04463772623775353,11,31,0.007869107710064025,-0.059625718319125554
EMA_6,19.307442103186204,0.0308414988094452,6,37,0.006048102604399291,-0.06037136139212862
EMA_12,19.754219220384662,0.044222992398048167,3,43,0.0058963986337357815,-0.0610483758606839
EMA_26,20.1674518725699,0.03314649657446678,9,53,0.012107853952040754,-0.061697377031634915
MACD,0.1551802548181809,0.0,9,27,0.009679871216425799,0.005417597528699414
Signal_Line,0.0062609403629902555,0.014331395025188431,67,2,0.04402913288001948,0.0010881311497872304
%K,6.399801014662885,3.984458943673275e-06,11,31,0.012983209226155663,0.03477280142261918
%D,4.268852926148889,0.0018489288759839795,0,75,0.0,0.028407075257323555
CCI,3.593832551191973,0.014194867195780336,14,17,0.016590561852195054,0.02606315925896041
Return_1H,0.5019533357936702,0.0,1,58,0.0005504854566212532,0.009743307502617427
Return_3H,2.4660599372254826,0.005928587907205962,4,40,0.003232923859961117,0.021592150995104475
Return_6H,2.7295169779867723,0.006442669292796355,6,41,0.004856451523381643,0.022715705754123405
RSI_long,4.121373324668029,0.013027717302249053,3,39,0.002297144411887625,0.027900139565398163
RSI_short,4.121373324668029,0.012816437227100907,0,77,0.0,0.027900139565398163
Middle_Band,20.12897130924878,0.032692789278165435,0,79,0.0,-0.061616582466967884
Upper_Band,19.466804825918928,0.0720914183484822,53,13,0.21134506239851106,-0.06063797966514084
Lower_Band,20.45360874267031,0.05872034004412541,28,25,0.016435673000367152,-0.06209899218040604
BB_Width,0.37052755621795147,0.010692964544919858,39,11,0.02899650003980017,0.008360040740711838
High_Low,4.475168197748494,0.004467614997472946,4,55,0.0019513080483301592,-0.029089184750034747
High_Close,0.5685988910828335,0.003231525773104371,3,46,0.001096975000591804,-0.01036631167847446
Low_Close,0.2858701831480541,0.007238131281073867,5,47,0.0021757887121676986,-0.007355577417428094
True_Range,2.001571861198163,0.015425823041434139,0,79,0.0,-0.019453335170240393
ATR,3.715211135150512,0.00858189452039304,9,28,0.007015986452815787,-0.026487067321819602
Volume_SMA_3,11.130633543425548,0.001680507968610856,7,50,0.0040239207079217736,-0.04583083153722711
Volume_SMA_6,15.301795806273674,0.0029714145894643718,59,9,0.07953177889312066,-0.053719758853191024
OBV,1.0782514034891069,0.021541169730389553,67,7,0.06560614522645165,-0.014352395817923913
MF_Multiplier,2.451242165529306,0.002256741864708589,1,56,0.0006306981730731205,0.02152722842592425
MF_Volume,2.1105949202104566,0.006446393616696966,1,44,0.0005356190926851836,0.019976081471654084
CMF,9.630893357551766,0.009424800121693,48,10,0.024350276014405873,0.0426413529248757
Volatility,3.4512275493963926,0.004335620323144163,4,34,0.001352648878127353,-0.025543647241605072
Return,0.5019533357936702,0.0,0,78,0.0,0.009743307502617427
Volume_change,0.13532625905325463,0.0,7,52,0.0038450223563102305,0.005058748839683602
Lag_Mid_Price_1,18.758993731890353,0.024810319056757457,0,78,0.0,-0.059509540904869596
Lag_Mid_Price_2,19.368091787944465,0.021499678113429788,8,52,0.016929701237962808,-0.06034934232123135
Lag_Mid_Price_3,19.802246587238436,0.019645989088263205,5,51,0.005726528719283178,-0.061116194306107374
Lag_Mid_Price_4,20.22423591740031,0.02630639452383865,0,80,0.0,-0.06173246049859138
Lag_Return_1,1.084700379934829,0.006034490308770568,5,38,0.004156088212134488,0.014322054742422097
Lag_Return_2,1.025233187225077,0.008781333014876713,3,61,0.0032347232758332643,0.013924007741743516
Lag_Return_3,0.48775271150882515,0.001380433657059088,4,55,0.0050777840132443805,0.00960450651782363
