date,score,rating
2021-01-25 00:00:00,69.7,greed
2021-01-26 00:00:00,67.4,greed
2021-01-27 00:00:00,28.200000000000003,fear
2021-01-28 00:00:00,52.900000000000006,neutral
2021-01-29 00:00:00,40.966666666666676,fear
2021-02-01 00:00:00,43.400000000000006,fear
2021-02-02 00:00:00,60.46666666666667,greed
2021-02-03 00:00:00,59.199999999999996,greed
2021-02-04 00:00:00,61.06666666666667,greed
2021-02-05 00:00:00,68.0,greed
2021-02-08 00:00:00,72.86666666666667,greed
2021-02-09 00:00:00,75.4,extreme greed
2021-02-10 00:00:00,75.26666666666667,extreme greed
2021-02-11 00:00:00,76.0,extreme greed
2021-02-12 00:00:00,77.66666666666667,extreme greed
2021-02-16 00:00:00,73.93333333333334,greed
2021-02-17 00:00:00,70.2,greed
2021-02-18 00:00:00,62.53333333333334,greed
2021-02-19 00:00:00,56.239999999999995,greed
2021-02-22 00:00:00,52.48,neutral
2021-02-23 00:00:00,50.56,neutral
2021-02-24 00:00:00,63.8,greed
2021-02-25 00:00:00,46.160000000000004,neutral
2021-02-26 00:00:00,53.52,neutral
2021-03-01 00:00:00,58.52,greed
2021-03-02 00:00:00,50.32000000000001,neutral
2021-03-03 00:00:00,43.84,fear
2021-03-04 00:00:00,37.8,fear
2021-03-05 00:00:00,41.52,fear
2021-03-08 00:00:00,39.08,fear
2021-03-09 00:00:00,43.36,fear
2021-03-10 00:00:00,45.56,neutral
2021-03-11 00:00:00,50.480000000000004,neutral
2021-03-12 00:00:00,53.720000000000006,neutral
2021-03-15 00:00:00,56.52,greed
2021-03-16 00:00:00,54.8,neutral
2021-03-17 00:00:00,57.86666666666667,greed
2021-03-18 00:00:00,52.333333333333336,neutral
2021-03-19 00:00:00,50.833333333333336,neutral
2021-03-22 00:00:00,50.699999999999996,neutral
2021-03-23 00:00:00,41.800000000000004,fear
2021-03-24 00:00:00,37.66666666666667,fear
2021-03-25 00:00:00,37.833333333333336,fear
2021-03-26 00:00:00,37.56666666666667,fear
2021-03-29 00:00:00,39.56666666666667,fear
2021-03-30 00:00:00,42.03333333333334,fear
2021-03-31 00:00:00,44.56666666666667,fear
2021-04-01 00:00:00,46.400000000000006,neutral
2021-04-05 00:00:00,54.56666666666667,neutral
2021-04-06 00:00:00,53.5,neutral
2021-04-07 00:00:00,52.53333333333333,neutral
2021-04-08 00:00:00,48.099999999999994,neutral
2021-04-09 00:00:00,47.5,neutral
2021-04-12 00:00:00,43.43333333333334,fear
2021-04-13 00:00:00,43.63333333333333,fear
2021-04-14 00:00:00,39.96666666666667,fear
2021-04-15 00:00:00,47.16666666666668,neutral
2021-04-16 00:00:00,51.300000000000004,neutral
2021-04-19 00:00:00,45.26666666666667,neutral
2021-04-20 00:00:00,42.866666666666674,fear
2021-04-21 00:00:00,49.63333333333333,neutral
2021-04-22 00:00:00,46.70000000000001,neutral
2021-04-23 00:00:00,47.699999999999996,neutral
2021-04-26 00:00:00,50.53333333333334,neutral
2021-04-27 00:00:00,54.800000000000004,neutral
2021-04-28 00:00:00,52.400000000000006,neutral
2021-04-29 00:00:00,56.166666666666664,greed
2021-04-30 00:00:00,46.53333333333333,neutral
2021-05-03 00:00:00,47.56666666666667,neutral
2021-05-04 00:00:00,43.46666666666667,fear
2021-05-05 00:00:00,43.03333333333333,fear
2021-05-06 00:00:00,43.93333333333334,fear
2021-05-07 00:00:00,48.166666666666664,neutral
2021-05-10 00:00:00,44.93333333333334,fear
2021-05-11 00:00:00,42.03333333333334,fear
2021-05-12 00:00:00,26.766666666666666,fear
2021-05-13 00:00:00,34.433333333333344,fear
2021-05-14 00:00:00,35.99999999999999,fear
2021-05-17 00:00:00,36.36666666666667,fear
2021-05-18 00:00:00,34.03333333333334,fear
2021-05-19 00:00:00,32.333333333333336,fear
2021-05-20 00:00:00,32.300000000000004,fear
2021-05-21 00:00:00,29.433333333333334,fear
2021-05-24 00:00:00,29.5,fear
2021-05-25 00:00:00,26.66666666666667,fear
2021-05-26 00:00:00,28.133333333333336,fear
2021-05-27 00:00:00,30.3,fear
2021-05-28 00:00:00,31.566666666666666,fear
2021-06-01 00:00:00,35.4,fear
2021-06-02 00:00:00,42.13333333333333,fear
2021-06-03 00:00:00,40.800000000000004,fear
2021-06-04 00:00:00,41.9,fear
2021-06-07 00:00:00,44.46666666666667,fear
2021-06-08 00:00:00,46.46666666666667,neutral
2021-06-09 00:00:00,48.53333333333333,neutral
2021-06-10 00:00:00,48.9,neutral
2021-06-11 00:00:00,51.23333333333334,neutral
2021-06-14 00:00:00,54.166666666666664,neutral
2021-06-15 00:00:00,52.666666666666664,neutral
2021-06-16 00:00:00,44.800000000000004,fear
2021-06-17 00:00:00,42.03333333333334,fear
2021-06-18 00:00:00,31.600000000000005,fear
2021-06-21 00:00:00,32.46666666666666,fear
2021-06-22 00:00:00,32.800000000000004,fear
2021-06-23 00:00:00,33.26666666666667,fear
2021-06-24 00:00:00,36.9,fear
2021-06-25 00:00:00,41.63333333333333,fear
2021-06-28 00:00:00,41.43333333333334,fear
2021-06-29 00:00:00,39.833333333333336,fear
2021-06-30 00:00:00,38.00000000000001,fear
2021-07-01 00:00:00,38.666666666666664,fear
2021-07-02 00:00:00,38.66666666666667,fear
2021-07-06 00:00:00,33.300000000000004,fear
2021-07-07 00:00:00,33.1,fear
2021-07-08 00:00:00,26.96666666666667,fear
2021-07-09 00:00:00,31.000000000000004,fear
2021-07-12 00:00:00,31.7,fear
2021-07-13 00:00:00,31.266666666666666,fear
2021-07-14 00:00:00,29.533333333333335,fear
2021-07-15 00:00:00,27.33333333333334,fear
2021-07-16 00:00:00,26.900000000000002,fear
2021-07-19 00:00:00,8.983333333333334,extreme fear
2021-07-20 00:00:00,20.066666666666666,extreme fear
2021-07-21 00:00:00,24.2,extreme fear
2021-07-22 00:00:00,24.333333333333332,extreme fear
2021-07-23 00:00:00,28.299999999999997,fear
2021-07-26 00:00:00,30.900000000000002,fear
2021-07-27 00:00:00,27.166666666666668,fear
2021-07-28 00:00:00,27.46666666666667,fear
2021-07-29 00:00:00,29.233333333333334,fear
2021-07-30 00:00:00,25.76666666666667,fear
2021-08-02 00:00:00,25.099999999999998,fear
2021-08-03 00:00:00,29.533333333333335,fear
2021-08-04 00:00:00,28.633333333333336,fear
2021-08-05 00:00:00,29.633333333333336,fear
2021-08-06 00:00:00,31.866666666666664,fear
2021-08-09 00:00:00,32.06666666666667,fear
2021-08-10 00:00:00,34.833333333333336,fear
2021-08-11 00:00:00,37.93333333333334,fear
2021-08-12 00:00:00,43.13333333333333,fear
2021-08-13 00:00:00,47.13333333333333,neutral
2021-08-16 00:00:00,44.866666666666674,fear
2021-08-17 00:00:00,31.7,fear
2021-08-18 00:00:00,18.2,extreme fear
2021-08-19 00:00:00,14.883333333333335,extreme fear
2021-08-20 00:00:00,23.86666666666667,extreme fear
2021-08-23 00:00:00,30.433333333333334,fear
2021-08-24 00:00:00,34.4,fear
2021-08-25 00:00:00,36.03333333333333,fear
2021-08-26 00:00:00,36.833333333333336,fear
2021-08-27 00:00:00,47.46666666666667,neutral
2021-08-30 00:00:00,47.86666666666667,neutral
2021-08-31 00:00:00,47.23333333333333,neutral
2021-09-01 00:00:00,43.13333333333333,fear
2021-09-02 00:00:00,44.166666666666664,fear
2021-09-03 00:00:00,44.06666666666666,fear
2021-09-07 00:00:00,41.7,fear
2021-09-08 00:00:00,38.56666666666667,fear
2021-09-09 00:00:00,33.800000000000004,fear
2021-09-10 00:00:00,20.600000000000005,extreme fear
2021-09-13 00:00:00,28.266666666666666,fear
2021-09-14 00:00:00,24.8,extreme fear
2021-09-15 00:00:00,31.200000000000003,fear
2021-09-16 00:00:00,31.500000000000004,fear
2021-09-17 00:00:00,17.933333333333337,extreme fear
2021-09-20 00:00:00,11.100000000000001,extreme fear
2021-09-21 00:00:00,11.449999999999998,extreme fear
2021-09-22 00:00:00,20.033333333333335,extreme fear
2021-09-23 00:00:00,24.5,extreme fear
2021-09-24 00:00:00,23.83333333333334,extreme fear
2021-09-27 00:00:00,24.766666666666666,extreme fear
2021-09-28 00:00:00,12.466666666666669,extreme fear
2021-09-29 00:00:00,12.483333333333334,extreme fear
2021-09-30 00:00:00,9.966666666666667,extreme fear
2021-10-01 00:00:00,18.333333333333332,extreme fear
2021-10-04 00:00:00,9.500000000000002,extreme fear
2021-10-05 00:00:00,18.766666666666666,extreme fear
2021-10-06 00:00:00,20.066666666666666,extreme fear
2021-10-07 00:00:00,24.600000000000005,extreme fear
2021-10-08 00:00:00,25.26666666666667,fear
2021-10-11 00:00:00,25.900000000000002,fear
2021-10-12 00:00:00,22.7,extreme fear
2021-10-13 00:00:00,24.100000000000005,extreme fear
2021-10-14 00:00:00,31.833333333333332,fear
2021-10-15 00:00:00,43.63333333333333,fear
2021-10-18 00:00:00,46.56666666666666,neutral
2021-10-19 00:00:00,53.400000000000006,neutral
2021-10-20 00:00:00,56.56666666666667,greed
2021-10-21 00:00:00,60.199999999999996,greed
2021-10-22 00:00:00,59.5,greed
2021-10-25 00:00:00,62.96666666666667,greed
2021-10-26 00:00:00,63.03333333333334,greed
2021-10-27 00:00:00,58.333333333333336,greed
2021-10-28 00:00:00,64.4,greed
2021-10-29 00:00:00,65.43333333333334,greed
2021-11-01 00:00:00,66.13333333333334,greed
2021-11-02 00:00:00,68.26666666666667,greed
2021-11-03 00:00:00,72.2,greed
2021-11-04 00:00:00,72.43333333333334,greed
2021-11-05 00:00:00,73.60000000000001,greed
2021-11-08 00:00:00,74.53333333333335,greed
2021-11-09 00:00:00,77.17142857142858,extreme greed
2021-11-10 00:00:00,73.08571428571429,greed
2021-11-11 00:00:00,72.22857142857143,greed
2021-11-12 00:00:00,74.0,greed
2021-11-15 00:00:00,71.62857142857145,greed
2021-11-16 00:00:00,72.48571428571428,greed
2021-11-17 00:00:00,69.2,greed
2021-11-18 00:00:00,70.14285714285715,greed
2021-11-19 00:00:00,62.77142857142859,greed
2021-11-22 00:00:00,60.0,greed
2021-11-23 00:00:00,60.371428571428574,greed
2021-11-24 00:00:00,56.94285714285714,greed
2021-11-26 00:00:00,31.25714285714286,fear
2021-11-29 00:00:00,38.114285714285714,fear
2021-11-30 00:00:00,24.771428571428572,extreme fear
2021-12-01 00:00:00,25.357142857142858,fear
2021-12-02 00:00:00,22.928571428571427,extreme fear
2021-12-03 00:00:00,20.157142857142862,extreme fear
2021-12-06 00:00:00,21.25714285714286,extreme fear
2021-12-07 00:00:00,37.88571428571429,fear
2021-12-08 00:00:00,41.314285714285724,fear
2021-12-09 00:00:00,36.85714285714287,fear
