Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,SHAP_Importance,Correlation_With_Target
Upper_Band,12.581477800347779,0.08269328906286622,49,0.057770607680481124,-0.04876784681914614
Lower_Band,10.685308434760096,0.07542804058677421,32,0.03952076409277275,-0.04489910031787414
High_Low,0.4747055385887004,0.00075912833042735,1,0.0002888736434789601,-0.009483310174204007
High_Close,0.7919850287611959,0.0,12,0.03949848464000412,-0.012245754977328716
Low_Close,0.09872940768448037,0.0,3,0.0007809147469324594,-0.0043176884242939195
True_Range,0.6051927480177237,0.0,0,0.0,-0.01071275478103928
ATR,0.7122683319723341,0.012126328963888655,108,0.06911240169603984,0.011621337367678564
Volume_SMA_3,3.6784530627743703,0.0029463279503396667,14,0.005723993793577457,-0.026384676299606724
Volume_SMA_6,3.3887301123029685,0.009508707583464338,62,0.037824664945576854,-0.025308271729286957
OBV,1.973383854591309,0.03497451991301048,149,0.2184059886379045,0.01935162704550919
MF_Multiplier,3.0693001577384513,0.0020100653570596094,2,0.0010659255138620305,0.024103417673530636
MF_Volume,2.7121607301769957,0.0018307833482344993,4,0.0017475056671605235,0.022658384974846513
CMF,7.147202058659692,0.0036903311120346505,69,0.03719583488963282,0.03676691378141683
Volatility,2.167421529111574,0.010970590277675107,8,0.003019000446240918,-0.02026144565775212
Return,0.05955331391102848,0.0,0,0.0,0.0033584042126326707
Volume_change,0.4138727679345597,0.0028739362073129104,8,0.005029122890937543,-0.00885324672708876
Lag_Mid_Price_1,10.790111269075288,0.04355025788867484,0,0.0,-0.04512169756154005
Lag_Mid_Price_2,10.944934743630185,0.05135377110085537,11,0.006818326132868585,-0.04551252641863357
Lag_Mid_Price_3,11.196107064608327,0.04516516484413846,2,0.002160960980120373,-0.04595979941850459
Lag_Mid_Price_4,11.27925733474796,0.04348921914539705,5,0.0036723311539678663,-0.04616166565023505
Lag_Return_1,0.36171360684366816,0.0,2,0.002733799287658173,0.008276572289095618
Lag_Return_2,0.7168092923579701,0.005496899968240765,5,0.002305453504508364,0.011650799668059708
Lag_Return_3,0.15289740873699145,0.0020285950188265733,1,0.0005659999859261471,0.005381164872329869
Lag_Return_4,0.09044899156471962,0.0010166560532398616,4,0.0014795837661576237,0.00413887022004733
Return_1,0.05955331391102848,0.0,0,0.0,0.0033584042126326707
Return_5,1.0977565747467015,0.010218995665456143,14,0.013408278740522243,0.014417509547769214
Return_10,2.0330262089818643,0.0036535419567957916,22,0.009628844237614953,0.019618685676906278
Rolling_Mean_5,10.992629785332399,0.048962218250469425,0,0.0,-0.04558863503566002
Rolling_Std_5,2.167421529111574,0.01083566062741026,0,0.0,-0.02026144565775212
Lagged_Volatility,1.5301105670821844,0.0050956967437478795,6,0.0026092462738905686,-0.01701664466830266
Hammer,3.379071537595395,0.002058898478338733,0,0.0,-0.025289713084930554
Rolling_Skew,4.478965376049474,0.011544686554309624,62,0.04065286685039244,-0.029113052453830335
Rolling_Kurt,0.12557147113550657,0.007522164961921485,97,0.051380842832484126,0.004879208750672603
Price_Z_Score,0.2823895224571462,0.0,17,0.03358801319261596,0.007313089391828953
