Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,SHAP_Importance,Correlation_With_Target
Open_BID,9.108063086893683,0.05196067897000267,6,0.004200607285919713,-0.04157234496410922
High_BID,9.035528823791733,0.0494195293803017,27,0.023384848237727313,-0.04138173498857611
Low_BID,9.040570275195813,0.06637423115537144,6,0.0074314576869873306,-0.041328756616390905
Close_BID,8.721140743039987,0.05425100213451839,4,0.00235422648938426,-0.04062789783168341
Volume_BID,3.2240488223473283,0.008275182356547672,3,0.002236526833990061,-0.02469623016806821
Open_ASK,9.142024140497206,0.05412803362780405,4,0.0032633848672073153,-0.04154641106229651
High_ASK,9.015113791799731,0.0512039946566083,3,0.004554260326707745,-0.041364036957002304
Low_ASK,9.043113240487235,0.05629230209130731,3,0.005476490479463722,-0.04129298356274891
Close_ASK,8.690264292499961,0.057379410881033044,5,0.0043650128414376085,-0.04057664419133655
Volume_ASK,5.292530921739314,0.008791350843432078,5,0.010482551602428553,-0.031642795046697536
Mid_Price,8.692874284040325,0.05434590300050557,4,0.005922035944158057,-0.0406022713302141
Spread,7.939862533830148,0.0,7,0.00790107350599451,0.03874886689482082
Volume,4.2365358467636725,0.008492282556166186,1,0.0011134530643397594,-0.028312286424046818
Open_Mid,9.121477199879868,0.049235852314257755,0,0.0,-0.04155940255423474
High_Mid,9.051809360246898,0.05102958426738047,11,0.045443640091598084,-0.041372886428110434
Low_Mid,9.017102460402997,0.06274772850900456,4,0.015420901695130452,-0.041310872302753765
Close_Mid,8.692874284040325,0.054063063226699626,0,0.0,-0.0406022713302141
Unix_Diff_Until_Earnings,3.7429035789823084,0.0013704005258143859,253,0.16158911954970304,-0.026611920039613324
Month,2.0217681375161214,0.018783082726785638,46,0.04051122293313305,-0.019564562313462375
Day_Type,7.7627669140662725,0.0075556986524252245,29,0.04394434303057785,0.038315429774229415
Week_of_Year,1.7339992611441355,0.07371748105948117,188,0.28483730531162704,-0.018117503174835292
Quarter,0.03235818131678093,0.0,0,0.0,-0.002459789175190963
Hour,0.2582591319098374,0.0033581794926651476,2,0.0006932593667998975,0.007021254000051158
Is_Open_Hour,0.04445553661120383,0.018041333534078108,0,0.0,0.002901851781643927
Is_Close_Hour,0.18260094224451257,0.0101102196366325,0,0.0,0.005880774217075668
Day_of_Week,0.945797395875663,0.013894746710520378,24,0.031134171798665507,-0.013386435280153819
Is_Lunch_Time,0.03762792244887128,0.00023907765359987287,0,0.0,0.00266940139408689
Time_Since_Open,0.31022734636386146,0.008692568025671532,0,0.0,0.007667400630452903
score,37.05010866939102,0.4591577093069532,188,0.1859339134415293,-0.08346629744708878
rating,47.050314016596424,0.005772732327259833,0,0.0,-0.09398018091087579
SMA_3,8.814760024875001,0.06402825563441539,3,0.0022428199675812465,-0.040843654873413016
SMA_6,8.966981206820757,0.05179582181033293,4,0.006377319269572511,-0.041235385475875797
SMA_12,9.146350273214372,0.06392109144096336,10,0.006076399579846451,-0.041636040148052444
SMA_5,8.955375489522307,0.053190488309128314,1,0.0015058940442869142,-0.04115750635650528
SMA_10,9.07862376989743,0.05491846566616854,7,0.01826005198674866,-0.041458420047060685
SMA_20,9.189604910841288,0.050882674479023615,20,0.03856847690382543,-0.04175509169452418
EMA_3,8.844751045160017,0.05904222467210185,4,0.010192196562639417,-0.04086289263350196
EMA_6,8.962080322553238,0.055896264054944966,2,0.003973858130816111,-0.0411449559980781
EMA_12,9.081179373739076,0.05973246397359033,5,0.006949095618174511,-0.04141714150352005
EMA_26,9.000975689691018,0.05552560196840939,15,0.026235154916624117,-0.04134455583763241
MACD,0.20813978087820498,0.015510228697655837,113,0.08532490011707089,-0.00627842366469622
Signal_Line,0.7185827714477366,0.0016948965169072405,112,0.06572863314718765,-0.01166518246308712
%K,4.232253463945493,0.01574417507453263,9,0.006249968565683222,0.02830769171006864
%D,3.591823498586947,0.006702805594874572,38,0.03064634637417377,0.02606684731153308
CCI,0.2729719887315529,0.007163788652771119,55,0.0672724627149798,-0.007189886355202901
Return_1H,0.22225263744000864,0.0,3,0.0010505029956072184,0.006487796249706079
Return_3H,0.688441401662373,0.0038478335595346636,8,0.005222545018585511,0.01141792387554208
Return_6H,0.4281452862039878,0.0,23,0.04546791001032295,0.009004527646286675
RSI_long,1.557564348811618,0.0,44,0.026406006857265473,0.017159465737663915
RSI_short,1.557564348811618,0.0,0,0.0,0.017159465737663915
Middle_Band,9.189604910841288,0.050985381103880956,0,0.0,-0.04175509169452418
Upper_Band,9.129259623532397,0.08054436591383385,31,0.0301208110391956,-0.04155891643178222
Lower_Band,9.195310681804784,0.08004022520200405,26,0.03483651914505821,-0.04165162609634804
High_Low,0.027414076096667444,0.0,3,0.0014998277732719543,-0.0023219917193841866
High_Close,0.3107612620417899,0.007627195089560779,19,0.03604438539766249,-0.0076727605137989485
Low_Close,0.028141539116445066,0.003085157046060605,5,0.0013370801589206495,-0.0023091881153050053
