Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,SHAP_Importance,Correlation_With_Target
Open_BID,49.114137886865116,0.06106821368010684,14,0.011303461573569288,-0.09600341077079122
High_BID,49.35741923195427,0.06857271993909042,5,0.004330556015757595,-0.09624280943599928
Low_BID,48.40264559745374,0.07177469312508267,7,0.016290095715763807,-0.0952884790815709
Close_BID,48.30629455806193,0.06192903879991696,19,0.023514142254586604,-0.09523563653962874
Volume_BID,9.309316079346559,0.012630059573535135,3,0.0013737394728967783,-0.04195550180862284
Open_ASK,49.11497899117366,0.07243416366838562,0,0.0,-0.09599259733903764
High_ASK,49.3532281711451,0.06665528589454328,2,0.004819424397653458,-0.09625420232783954
Low_ASK,48.393954995149315,0.06226822846970448,2,0.0054649933818674895,-0.09527492421164752
Close_ASK,48.339620901695504,0.055686328799465334,10,0.008549160152591434,-0.09522490344217405
Volume_ASK,15.403313930760287,0.016006563296306675,1,0.0021609335049228937,-0.05393353242785892
Mid_Price,48.308718396189555,0.05886649714732939,1,0.0005444674996828404,-0.0952302870756423
Spread,0.0626479373497784,0.0,2,0.0011962628600925035,0.0034656073421501787
Volume,12.291925236233718,0.008031351382149277,0,0.0,-0.04818800894174302
Open_Mid,49.1134455479425,0.06702891172697556,0,0.0,-0.09599805735471456
High_Mid,49.39197513697717,0.07020668139017694,1,0.0022068781779303417,-0.09624850824411624
Low_Mid,48.35943828687392,0.0671051850550195,0,0.0,-0.09528170835081262
Close_Mid,48.308718396189555,0.057981133529919404,0,0.0,-0.0952302870756423
Unix_Diff_Until_Earnings,18.62138343297489,0.0,289,0.21456891757618426,-0.059280872104409355
Month,1.1897861696941472,0.05358842045828727,60,0.09059198486706482,-0.015008761631179368
Day_Type,4.559781225667772,0.000425469128442435,20,0.03698693721903784,-0.029374460122198798
Week_of_Year,1.711942713610892,0.10124973668143777,203,0.33376681302839734,-0.018001685175477178
Quarter,0.09689685406683914,0.012784703262719521,0,0.0,0.004276099265553057
Hour,0.02508021204446819,0.0,1,0.0005592690561981661,0.0023170455016838787
Is_Open_Hour,0.1687984835007009,0.0,0,0.0,-0.0056541749072493985
Is_Close_Hour,0.0011705516432984702,0.009483720430996101,0,0.0,-0.0004721175064332783
Day_of_Week,0.13336617004448362,0.0,15,0.022632389235833068,0.005036460447172431
Is_Lunch_Time,0.0008405789176161865,0.000431859883291974,0,0.0,0.0003984051290899515
Time_Since_Open,0.019227831148513647,0.0051750915648201,0,0.0,0.0019198495997443388
score,52.762456101611036,0.5188496974760777,146,0.15531913214600307,-0.09946091509021926
rating,50.63476327700538,0.015638240694419547,1,0.0003587772753085013,-0.09746208655542432
SMA_3,49.19136979403442,0.0712937158912319,1,0.0010436230604560877,-0.09608058932514041
SMA_6,50.54386696705646,0.07750567187863422,3,0.00860151503780782,-0.09738260294436452
SMA_12,52.227757073640426,0.07953382356166627,21,0.010551673042566849,-0.0989638193069382
SMA_5,50.11768104944176,0.06560024416662213,0,0.0,-0.09699140855613919
SMA_10,51.8267005113627,0.08211262035439137,8,0.014749181308426576,-0.09858337947429163
SMA_20,52.88710294493279,0.08061215700274982,31,0.03851025367286748,-0.09956706850607766
EMA_3,49.218636301320004,0.07550257572010932,1,0.0014421501251226825,-0.09609460628957223
EMA_6,50.290852972579984,0.07522437181261354,6,0.013262353898249509,-0.09714555029944805
