Datetime,Open,High,Low,Close,Volume
26.01.2017 14:00:00.000,107.860,108.310,106.710,107.220,8582.2573
26.01.2017 15:00:00.000,107.240,107.705,107.020,107.610,11925.2081
26.01.2017 16:00:00.000,107.640,109.140,107.640,108.640,12221.3068
26.01.2017 17:00:00.000,108.620,108.760,108.290,108.570,9490.571
26.01.2017 18:00:00.000,108.580,108.770,108.380,108.740,8094.696
26.01.2017 19:00:00.000,108.740,109.910,108.740,109.900,10258.0814
26.01.2017 20:00:00.000,109.890,109.890,109.350,109.590,9821.8813
26.01.2017 21:00:00.000,109.610,109.610,109.590,109.590,7.91
27.01.2017 14:00:00.000,109.940,110.477,109.550,109.680,7979.3921
27.01.2017 15:00:00.000,109.680,109.780,108.840,109.610,13530.9229
27.01.2017 16:00:00.000,109.610,110.440,109.600,110.370,10547.6341
27.01.2017 17:00:00.000,110.370,110.660,110.010,110.560,7176.1069
27.01.2017 18:00:00.000,110.560,111.260,110.320,111.090,8180.1729
27.01.2017 19:00:00.000,111.080,111.880,110.880,111.840,9547.2164
27.01.2017 20:00:00.000,111.820,111.820,111.000,111.750,11642.7193
27.01.2017 21:00:00.000,111.740,111.740,111.740,111.740,7.29
30.01.2017 14:00:00.000,110.900,110.900,108.350,108.540,14137.2633
30.01.2017 15:00:00.000,108.580,109.077,107.920,108.810,21129.8294
30.01.2017 16:00:00.000,108.810,109.890,108.700,109.890,15318.1067
30.01.2017 17:00:00.000,109.910,109.920,109.520,109.700,10275.2228
30.01.2017 18:00:00.000,109.690,110.140,109.660,109.980,11882.5092
30.01.2017 19:00:00.000,109.990,110.230,109.650,109.830,9577.5671
30.01.2017 20:00:00.000,109.850,110.010,109.350,110.000,15262.2108
30.01.2017 21:00:00.000,110.000,110.000,110.000,110.000,3.04
31.01.2017 14:00:00.000,108.910,109.980,108.690,109.120,8493.9594
31.01.2017 15:00:00.000,109.120,109.210,108.200,108.580,16434.4444
31.01.2017 16:00:00.000,108.570,109.130,108.260,108.360,12315.0978
31.01.2017 17:00:00.000,108.360,109.030,108.230,108.820,10466.3286
31.01.2017 18:00:00.000,108.820,108.980,108.650,108.820,8118.9127
31.01.2017 19:00:00.000,108.830,109.490,108.710,109.320,11848.1836
31.01.2017 20:00:00.000,109.330,109.530,109.010,109.140,15270.402
31.01.2017 21:00:00.000,109.140,109.140,109.130,109.130,11.92
01.02.2017 14:00:00.000,110.520,110.900,109.860,110.830,7681.3078
01.02.2017 15:00:00.000,110.810,112.940,110.670,111.890,17390.2206
01.02.2017 16:00:00.000,111.890,112.530,111.810,112.510,11501.2274
01.02.2017 17:00:00.000,112.510,113.450,112.420,112.960,11020.1769
01.02.2017 18:00:00.000,112.960,113.790,112.750,112.850,11817.9045
01.02.2017 19:00:00.000,112.850,113.480,112.720,113.150,12584.8207
01.02.2017 20:00:00.000,113.140,113.970,112.910,113.930,12826.3407
01.02.2017 21:00:00.000,113.910,113.910,113.880,113.900,0.83
02.02.2017 14:00:00.000,113.260,114.320,112.070,114.170,10027.9913
02.02.2017 15:00:00.000,114.180,114.200,112.920,113.980,16481.1993
02.02.2017 16:00:00.000,113.980,115.390,113.860,114.627,18020.1149
02.02.2017 17:00:00.000,114.637,115.726,114.440,115.600,13741.3664
02.02.2017 18:00:00.000,115.596,115.690,115.010,115.130,11892.3292
02.02.2017 19:00:00.000,115.130,115.489,114.810,115.470,11268.4107
02.02.2017 20:00:00.000,115.470,115.680,115.000,115.390,13602.3121
02.02.2017 21:00:00.000,115.386,115.386,115.386,115.386,0.036
03.02.2017 14:00:00.000,115.417,115.840,114.800,115.210,8963.3551
03.02.2017 15:00:00.000,115.197,115.378,114.300,114.860,15877.5606
03.02.2017 16:00:00.000,114.876,115.145,114.330,114.658,11930.3713
03.02.2017 17:00:00.000,114.660,114.900,114.510,114.620,8334.1198
03.02.2017 18:00:00.000,114.626,114.720,113.900,113.960,9404.1433
03.02.2017 19:00:00.000,113.970,114.530,113.960,114.270,10049.1772
03.02.2017 20:00:00.000,114.280,114.650,114.266,114.350,9609.807
03.02.2017 21:00:00.000,114.340,114.340,114.336,114.337,15.3
06.02.2017 14:00:00.000,113.996,115.830,113.996,115.446,12278.7552
06.02.2017 15:00:00.000,115.446,115.500,114.580,115.300,18747.736
06.02.2017 16:00:00.000,115.300,117.090,115.260,116.766,17749.5804
06.02.2017 17:00:00.000,116.770,117.240,116.747,116.840,15203.4369
06.02.2017 18:00:00.000,116.830,117.020,116.576,116.980,11912.7693
