Datetime,Open_BID,High_BID,Low_BID,Close_BID,Open_ASK,High_ASK,Low_ASK,Close_ASK,Volume,Mid_Price,Spread,Hour,Month,Day_Type,score,rating,SMA_5,SMA_10,Volatility,Return,Volume_change,Lag_Close_1,Lag_Close_2,Lag_Close_3,Lag_Close_4,Lag_Close_5,Lag_Volume_1,Lag_Volume_2,Lag_Volume_3,Lag_Volume_4,Lag_Volume_5,Lag_Return_1,Lag_Return_2,Lag_Return_3,Lag_Return_4,Lag_Return_5,Support_10,Resistance_10,Support_Close_10,Resistance_Close_10,Support_20,Resistance_20,Support_Close_20,Resistance_Close_20,RSI
2024-10-07 13:30:19,224.887,225.047,224.887,225.047,224.963,225.093,224.963,225.093,50.0,225.07,0.04599999999999227,13,10,1,69.4285714285714,greed,224.929,224.82200000000003,0.08119421161624758,0.0007336430937505689,-0.2857142857142858,224.905,224.875,224.875,224.92000000000002,224.825,70.00000000000001,70.00000000000001,70.00000000000001,30.000000000000004,30.000000000000004,0.0001334074485825898,0.0,-0.0002000711364040786,0.0004225508729012173,0.00035595897572804347,224.596,225.093,224.66000000000003,225.07,224.317,225.093,224.35500000000002,225.07,79.64071856287525
2024-10-07 13:30:20,225.047,225.047,224.966,224.966,225.123,225.123,225.084,225.084,60.0,225.025,0.117999999999995,13,10,1,69.4285714285714,greed,224.95,224.8585,0.09124143795438076,-0.00019993779712967896,0.19999999999999996,225.07,224.905,224.875,224.875,224.92000000000002,50.0,70.00000000000001,70.00000000000001,70.00000000000001,30.000000000000004,0.0007336430937505689,0.0001334074485825898,0.0,-0.0002000711364040786,0.0004225508729012173,224.596,225.123,224.66500000000002,225.07,224.317,225.123,224.35500000000002,225.07,74.85380116959159
2024-10-07 13:30:21,224.957,224.957,224.917,224.917,225.023,225.024,224.993,224.993,40.0,224.95499999999998,0.0759999999999934,13,10,1,69.4285714285714,greed,224.96599999999998,224.8875,0.08127115109300707,-0.0003110765470504262,-0.33333333333333337,225.025,225.07,224.905,224.875,224.875,60.0,50.0,70.00000000000001,70.00000000000001,70.00000000000001,-0.00019993779712967896,0.0007336430937505689,0.0001334074485825898,0.0,-0.0002000711364040786,224.647,225.123,224.68,225.07,224.317,225.123,224.45499999999998,225.07,64.59627329192494
2024-10-07 13:30:22,224.957,224.986,224.957,224.986,225.033,225.064,225.033,225.064,30.000000000000004,225.02499999999998,0.07800000000000296,13,10,1,69.4285714285714,greed,224.996,224.92199999999997,0.06542170893504227,0.0003111733457803467,-0.2499999999999999,224.95499999999998,225.025,225.07,224.905,224.875,40.0,60.0,50.0,70.00000000000001,70.00000000000001,-0.0003110765470504262,-0.00019993779712967896,0.0007336430937505689,0.0001334074485825898,0.0,224.717,225.123,224.745,225.07,224.416,225.123,224.53,225.07,71.08433734939594
2024-10-07 13:30:23,225.017,225.017,224.987,224.997,225.063,225.114,225.063,225.103,50.0,225.05,0.10599999999999454,13,10,1,69.4285714285714,greed,225.025,224.95250000000001,0.04344536799223789,0.0001110987668038188,0.6666666666666665,225.02499999999998,224.95499999999998,225.025,225.07,224.905,30.000000000000004,40.0,60.0,50.0,70.00000000000001,0.0003111733457803467,-0.0003110765470504262,-0.00019993779712967896,0.0007336430937505689,0.0001334074485825898,224.717,225.123,224.825,225.07,224.416,225.123,224.575,225.07,69.6202531645566
2024-10-07 13:30:24,224.986,224.986,224.916,224.916,225.104,225.104,224.974,224.974,50.0,224.945,0.057999999999992724,13,10,1,69.4285714285714,greed,225.0,224.9645,0.046904157598040605,-0.0004665629860032272,0.0,225.05,225.02499999999998,224.95499999999998,225.025,225.07,50.0,30.000000000000004,40.0,60.0,50.0,0.0001110987668038188,0.0003111733457803467,-0.0003110765470504262,-0.00019993779712967896,0.0007336430937505689,224.806,225.123,224.875,225.07,224.416,225.123,224.575,225.07,67.484662576684
2024-10-07 13:30:25,224.867,224.916,224.867,224.867,224.943,224.944,224.943,224.943,30.000000000000004,224.905,0.07600000000002183,13,10,1,69.4285714285714,greed,224.97599999999997,224.96300000000002,0.05983310120645445,-0.00017782124519327702,-0.3999999999999999,224.945,225.05,225.02499999999998,224.95499999999998,225.025,50.0,50.0,30.000000000000004,40.0,60.0,-0.0004665629860032272,0.0001110987668038188,0.0003111733457803467,-0.0003110765470504262,-0.00019993779712967896,224.817,225.123,224.875,225.07,224.497,225.123,224.60000000000002,225.07,64.11764705882155
2024-10-07 13:30:26,224.926,225.006,224.926,224.986,225.004,225.084,225.004,225.084,30.000000000000004,225.035,0.09800000000001319,13,10,1,69.4285714285714,greed,224.99200000000002,224.97899999999998,0.06340346993644645,0.0005780218314399566,0.0,224.905,224.945,225.05,225.02499999999998,224.95499999999998,30.000000000000004,50.0,50.0,30.000000000000004,40.0,-0.00017782124519327702,-0.0004665629860032272,0.0001110987668038188,0.0003111733457803467,-0.0003110765470504262,224.817,225.123,224.875,225.07,224.596,225.123,224.66000000000003,225.07,68.39378238341801
2024-10-07 13:30:27,224.957,224.957,224.957,224.957,225.033,225.033,225.033,225.033,10.0,224.995,0.0759999999999934,13,10,1,69.4285714285714,greed,224.98600000000002,224.99099999999999,0.06086871117398626,-0.0001777501277578919,-0.6666666666666667,225.035,224.905,224.945,225.05,225.02499999999998,30.000000000000004,30.000000000000004,50.0,50.0,30.000000000000004,0.0005780218314399566,-0.00017782124519327702,-0.0004665629860032272,0.0001110987668038188,0.0003111733457803467,224.846,225.123,224.905,225.07,224.596,225.123,224.66000000000003,225.07,63.29787234042475
2024-10-07 13:30:28,224.957,224.957,224.947,224.947,225.023,225.063,225.023,225.063,20.0,225.005,0.11599999999998545,13,10,1,69.4285714285714,greed,224.977,225.00099999999998,0.05167204273087554,4.444543212067664e-05,1.0,224.995,225.035,224.905,224.945,225.05,10.0,30.000000000000004,30.000000000000004,50.0,50.0,-0.0001777501277578919,0.0005780218314399566,-0.00017782124519327702,-0.0004665629860032272,0.0001110987668038188,224.867,225.123,224.905,225.07,224.596,225.123,224.66000000000003,225.07,60.344827586206556
2024-10-07 13:30:29,224.937,224.986,224.937,224.946,225.063,225.064,225.063,225.064,60.0,225.005,0.117999999999995,13,10,1,69.4285714285714,greed,224.98899999999998,224.99450000000002,0.04929503017528388,0.0,2.0,225.005,224.995,225.035,224.905,224.945,20.0,10.0,30.000000000000004,30.000000000000004,50.0,4.444543212067664e-05,-0.0001777501277578919,0.0005780218314399566,-0.00017782124519327702,-0.0004665629860032272,224.867,225.123,224.905,225.05,224.596,225.123,224.66000000000003,225.07,55.48387096774037
2024-10-07 13:30:30,224.966,224.966,224.887,224.896,225.024,225.024,224.943,224.944,60.0,224.92,0.04800000000000182,13,10,1,69.4285714285714,greed,224.99200000000002,224.984,0.042953463189626444,-0.0003777693829026818,0.0,225.005,225.005,224.995,225.035,224.905,60.0,20.0,10.0,30.000000000000004,30.000000000000004,0.0,4.444543212067664e-05,-0.0001777501277578919,0.0005780218314399566,-0.00017782124519327702,224.867,225.114,224.905,225.05,224.596,225.123,224.66500000000002,225.07,52.760736196318156
2024-10-07 13:30:31,224.927,224.937,224.896,224.937,224.983,224.994,224.954,224.993,70.00000000000001,224.965,0.055999999999983174,13,10,1,69.4285714285714,greed,224.97799999999998,224.98499999999999,0.036331804248915314,0.0002000711364040786,0.16666666666666696,224.92,225.005,225.005,224.995,225.035,60.0,60.0,20.0,10.0,30.000000000000004,-0.0003777693829026818,0.0,4.444543212067664e-05,-0.0001777501277578919,0.0005780218314399566,224.867,225.114,224.905,225.05,224.647,225.123,224.68,225.07,55.23255813953482
2024-10-07 13:30:32,224.937,224.937,224.897,224.897,224.963,224.993,224.953,224.993,60.0,224.945,0.09600000000000364,13,10,1,69.4285714285714,greed,224.968,224.977,0.037349698793709564,-8.890271820061191e-05,-0.14285714285714302,224.965,224.92,225.005,225.005,224.995,70.00000000000001,60.0,60.0,20.0,10.0,0.0002000711364040786,-0.0003777693829026818,0.0,4.444543212067664e-05,-0.0001777501277578919,224.867,225.114,224.905,225.05,224.717,225.123,224.745,225.07,52.352941176469976
2024-10-07 13:30:34,224.997,225.017,224.956,224.956,225.053,225.093,225.044,225.044,40.0,225.0,0.08800000000002228,13,10,1,69.4285714285714,greed,224.967,224.97199999999998,0.03615936946326466,0.00024450421214083917,-0.33333333333333337,224.945,224.965,224.92,225.005,225.005,60.0,70.00000000000001,60.0,60.0,20.0,-8.890271820061191e-05,0.0002000711364040786,-0.0003777693829026818,0.0,4.444543212067664e-05,224.867,225.104,224.905,225.035,224.717,225.123,224.825,225.07,45.270270270271155
