Datetime,Open_BID,High_BID,Low_BID,Close_BID,Open_ASK,High_ASK,Low_ASK,Close_ASK,Volume,Mid_Price,Spread,Hour,Month,Day_Type,score,rating,SMA_5,SMA_10,Volatility,Return,Volume_change,Lag_Close_1,Lag_Close_2,Lag_Close_3,Lag_Close_4,Lag_Close_5,Lag_Volume_1,Lag_Volume_2,Lag_Volume_3,Lag_Volume_4,Lag_Volume_5,Lag_Return_1,Lag_Return_2,Lag_Return_3,Lag_Return_4,Lag_Return_5,Support_10,Resistance_10,Support_Close_10,Resistance_Close_10,Support_20,Resistance_20,Support_Close_20,Resistance_Close_20,RSI,Higher
2024-10-07 13:49:00,225.037,225.147,224.996,224.997,225.073,225.174,225.033,225.043,1330.0,225.02,0.04599999999999227,13,10,1,69.4285714285714,greed,225.061,224.98200000000003,0.1205404496423942,-0.00017773038300894495,-0.029197080291970767,225.06,225.12,225.21499999999997,224.89,224.865,1370.0,1690.0001,1470.0,1309.9999,1230.0,-0.00026652452025588413,-0.00042181915058925323,0.0014451509626929315,0.00011117781780178859,2.2236057991564806e-05,224.686,225.453,224.79500000000002,225.21499999999997,224.027,225.453,224.125,225.21499999999997,59.72540045766666,False
2024-10-07 13:50:00,224.997,224.997,224.816,224.846,225.033,225.034,224.854,224.914,1200.0,224.88,0.06799999999998363,13,10,1,69.4285714285714,greed,225.05899999999997,224.97149999999996,0.12411688039904496,-0.0006221669184961476,-0.09774436090225569,225.02,225.06,225.12,225.21499999999997,224.89,1330.0,1370.0,1690.0001,1470.0,1309.9999,-0.00017773038300894495,-0.00026652452025588413,-0.00042181915058925323,0.0014451509626929315,0.00011117781780178859,224.686,225.453,224.79500000000002,225.21499999999997,224.027,225.453,224.125,225.21499999999997,70.35040431266938,True
2024-10-07 13:51:00,224.836,225.037,224.836,224.977,224.904,225.094,224.873,225.023,1410.0,225.0,0.04599999999999227,13,10,1,69.4285714285714,greed,225.016,224.9705,0.08876936408466633,0.0005336179295625243,0.17500000000000004,224.88,225.02,225.06,225.12,225.21499999999997,1200.0,1330.0,1370.0,1690.0001,1470.0,-0.0006221669184961476,-0.00017773038300894495,-0.00026652452025588413,-0.00042181915058925323,0.0014451509626929315,224.686,225.453,224.79500000000002,225.21499999999997,224.027,225.453,224.125,225.21499999999997,70.27027027027127,True
2024-10-07 13:52:00,224.987,225.116,224.987,225.047,225.023,225.154,225.023,225.073,1080.0,225.06,0.02600000000001046,13,10,1,69.4285714285714,greed,225.004,224.997,0.07402702209326176,0.0002666666666666373,-0.23404255319148937,225.0,224.88,225.02,225.06,225.12,1410.0,1200.0,1330.0,1370.0,1690.0001,0.0005336179295625243,-0.0006221669184961476,-0.00017773038300894495,-0.00026652452025588413,-0.00042181915058925323,224.746,225.453,224.86,225.21499999999997,224.027,225.453,224.125,225.21499999999997,68.02325581395452,False
2024-10-07 13:53:00,225.037,225.046,224.867,224.907,225.073,225.084,224.893,224.953,1230.0,224.93,0.04599999999999227,13,10,1,69.4285714285714,greed,224.978,225.004,0.072249567472731,-0.0005776237447790988,0.13888888888888884,225.06,225.0,224.88,225.02,225.06,1080.0,1410.0,1200.0,1330.0,1370.0,0.0002666666666666373,0.0005336179295625243,-0.0006221669184961476,-0.00017773038300894495,-0.00026652452025588413,224.766,225.453,224.865,225.21499999999997,224.027,225.453,224.125,225.21499999999997,50.724637681158825,True
2024-10-07 13:54:00,224.887,224.966,224.726,224.826,224.963,225.014,224.773,224.874,1270.0,224.85,0.04800000000000182,13,10,1,69.4285714285714,greed,224.94400000000002,225.0025,0.08619744775801995,-0.0003556662072645711,0.03252032520325199,224.93,225.06,225.0,224.88,225.02,1230.0,1080.0,1410.0,1200.0,1330.0,-0.0005776237447790988,0.0002666666666666373,0.0005336179295625243,-0.0006221669184961476,-0.00017773038300894495,224.726,225.453,224.85,225.21499999999997,224.027,225.453,224.125,225.21499999999997,45.12635379061269,True
2024-10-07 13:55:00,224.856,225.206,224.836,225.136,224.894,225.244,224.893,225.194,1400.0,225.165,0.057999999999992724,13,10,1,69.4285714285714,greed,225.00099999999998,225.03000000000003,0.12064410470469865,0.001400933955970629,0.10236220472440949,224.85,224.93,225.06,225.0,224.88,1270.0,1230.0,1080.0,1410.0,1200.0,-0.0003556662072645711,-0.0005776237447790988,0.0002666666666666373,0.0005336179295625243,-0.0006221669184961476,224.726,225.453,224.85,225.21499999999997,224.027,225.453,224.125,225.21499999999997,54.62686567164203,True
2024-10-07 13:56:00,225.157,225.237,224.897,225.197,225.193,225.264,224.963,225.243,1520.0,225.22,0.04599999999999227,13,10,1,69.4285714285714,greed,225.045,225.0305,0.15532224567009123,0.00024426531654575534,0.08571428571428563,225.165,224.85,224.93,225.06,225.0,1400.0,1270.0,1230.0,1080.0,1410.0,0.001400933955970629,-0.0003556662072645711,-0.0005776237447790988,0.0002666666666666373,0.0005336179295625243,224.726,225.453,224.85,225.22,224.027,225.453,224.25,225.22,64.02640264026385,False
2024-10-07 13:57:00,225.177,225.177,225.007,225.007,225.203,225.224,225.053,225.053,1230.0,225.03,0.04599999999999227,13,10,1,69.4285714285714,greed,225.039,225.0215,0.1551773179301666,-0.0008436195719740969,-0.1907894736842105,225.22,225.165,224.85,224.93,225.06,1520.0,1400.0,1270.0,1230.0,1080.0,0.00024426531654575534,0.001400933955970629,-0.0003556662072645711,-0.0005776237447790988,0.0002666666666666373,224.726,225.264,224.85,225.22,224.206,225.453,224.44,225.22,55.18292682926805,True
2024-10-07 13:58:00,225.007,225.176,224.976,225.126,225.063,225.204,225.014,225.164,910.0,225.14499999999998,0.03799999999998249,13,10,1,69.4285714285714,greed,225.08199999999997,225.03000000000003,0.1469948978706481,0.0005110429720480703,-0.26016260162601623,225.03,225.22,225.165,224.85,224.93,1230.0,1520.0,1400.0,1270.0,1230.0,-0.0008436195719740969,0.00024426531654575534,0.001400933955970629,-0.0003556662072645711,-0.0005776237447790988,224.726,225.264,224.85,225.22,224.436,225.453,224.79500000000002,225.22,57.99999999999948,True
