Datetime,Open,High,Low,Close,Adj Close,Volume,Higher
2024-09-30 09:30:00-04:00,231.0,232.34120178222656,230.94000244140625,232.29200744628903,232.29200744628903,5018142,False
2024-09-30 09:35:00-04:00,232.2899932861328,232.30999755859372,231.56500244140625,232.11590576171875,232.11590576171875,1291722,False
2024-09-30 09:40:00-04:00,232.110107421875,232.1999969482422,231.5399932861328,231.5399932861328,231.5399932861328,803458,False
2024-09-30 09:45:00-04:00,231.55499267578125,231.8999938964844,231.2700042724609,231.6226959228516,231.6226959228516,661990,False
2024-09-30 09:50:00-04:00,231.6300048828125,231.6750030517578,231.0399932861328,231.33999633789065,231.33999633789065,616018,False
2024-09-30 09:55:00-04:00,231.3249969482422,231.6000061035156,230.72000122070312,230.9250030517578,230.9250030517578,518412,False
2024-09-30 10:00:00-04:00,230.9250030517578,231.3300018310547,230.9250030517578,231.1199951171875,231.1199951171875,492989,False
2024-09-30 10:05:00-04:00,231.1009063720703,231.19000244140625,230.5399932861328,230.82000732421875,230.82000732421875,449720,False
2024-09-30 10:10:00-04:00,230.83990478515625,230.83990478515625,230.5399932861328,230.6320037841797,230.6320037841797,426023,False
2024-09-30 10:15:00-04:00,230.63999938964844,230.77999877929688,230.30999755859372,230.5966033935547,230.5966033935547,454535,False
2024-09-30 10:20:00-04:00,230.58999633789065,230.73989868164065,230.41000366210935,230.5399932861328,230.5399932861328,350428,False
2024-09-30 10:25:00-04:00,230.5399932861328,231.0,230.3800048828125,230.97999572753903,230.97999572753903,704080,False
2024-09-30 10:30:00-04:00,230.97000122070312,231.2250061035156,230.75,231.2250061035156,231.2250061035156,535767,True
2024-09-30 10:35:00-04:00,231.1999969482422,231.5,231.0399932861328,231.11050415039065,231.11050415039065,433784,False
2024-09-30 10:40:00-04:00,231.1199951171875,231.3500061035156,231.01010131835935,231.0901031494141,231.0901031494141,247605,False
2024-09-30 10:45:00-04:00,231.1199951171875,231.59559631347656,231.10009765625,231.4600067138672,231.4600067138672,381482,False
2024-09-30 10:50:00-04:00,231.4600067138672,231.67999267578125,231.4208984375,231.55999755859372,231.55999755859372,348856,False
2024-09-30 10:55:00-04:00,231.5500030517578,231.75999450683597,231.52999877929688,231.6100006103516,231.6100006103516,298173,False
2024-09-30 11:00:00-04:00,231.5449981689453,231.72999572753903,231.51150512695312,231.7075958251953,231.7075958251953,334346,False
2024-09-30 11:05:00-04:00,231.7050018310547,231.91000366210935,231.3800048828125,231.4499969482422,231.4499969482422,510703,False
2024-09-30 11:10:00-04:00,231.46499633789065,231.82000732421875,231.44000244140625,231.7899932861328,231.7899932861328,287648,False
2024-09-30 11:15:00-04:00,231.7949981689453,231.87559509277344,231.55999755859372,231.5800018310547,231.5800018310547,313358,False
2024-09-30 11:20:00-04:00,231.57000732421875,231.72999572753903,231.5200042724609,231.7100067138672,231.7100067138672,215383,False
2024-09-30 11:25:00-04:00,231.71499633789065,232.0498962402344,231.7100067138672,231.8999938964844,231.8999938964844,682189,False
2024-09-30 11:30:00-04:00,232.0200042724609,232.15499877929688,231.8412933349609,231.91000366210935,231.91000366210935,443515,False
2024-09-30 11:35:00-04:00,231.9398956298828,232.17990112304688,231.83999633789065,231.9801025390625,231.9801025390625,339903,False
2024-09-30 11:40:00-04:00,231.9900054931641,232.07000732421875,231.8300018310547,232.0500030517578,232.0500030517578,321668,False
2024-09-30 11:45:00-04:00,232.0500030517578,232.22000122070312,231.94000244140625,232.19000244140625,232.19000244140625,277168,False
2024-09-30 11:50:00-04:00,232.17999267578125,232.42999267578125,232.0800018310547,232.2700042724609,232.2700042724609,436489,False
2024-09-30 11:55:00-04:00,232.28500366210935,232.3600006103516,232.1300048828125,232.25,232.25,260861,False
2024-09-30 12:00:00-04:00,232.25,232.41000366210935,232.13999938964844,232.3249969482422,232.3249969482422,282663,False
2024-09-30 12:05:00-04:00,232.3300018310547,232.50999450683597,232.3137969970703,232.42999267578125,232.42999267578125,403635,False
2024-09-30 12:10:00-04:00,232.4550018310547,232.5200042724609,232.17999267578125,232.3300018310547,232.3300018310547,393456,False
2024-09-30 12:15:00-04:00,232.3500061035156,232.4199066162109,232.25999450683597,232.30999755859372,232.30999755859372,201321,False
2024-09-30 12:20:00-04:00,232.30499267578125,232.53829956054688,232.1100006103516,232.13499450683597,232.13499450683597,414430,False
2024-09-30 12:25:00-04:00,232.139892578125,232.2698974609375,232.0800018310547,232.1199951171875,232.1199951171875,172828,False
2024-09-30 12:30:00-04:00,232.1199951171875,232.13999938964844,231.82000732421875,231.8999938964844,231.8999938964844,286359,False
