Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,RFECV_Ranking,SHAP_Importance,Correlation_With_Target
Open_BID,42.33248228582378,0.04376485625190463,4,49,0.008922437396348584,-0.08928396391328874
High_BID,42.92385033108971,0.029149564782001924,9,27,0.009310362643600032,-0.08989421377991036
Low_BID,41.736554873123055,0.04202562716296465,17,19,0.029018364811046502,-0.08860403989800858
Close_BID,41.95381942243047,0.04642321862551424,13,7,0.010741425332685066,-0.08884276208388542
Volume_BID,16.316584181543234,0.002153921943356174,1,66,0.00014176373254854154,-0.05555534287310393
Open_ASK,42.32261909594053,0.03659591108738858,1,67,0.0011239805826915644,-0.0893011239015582
High_ASK,42.961050801759356,0.037063477460124394,3,45,0.013549407271798476,-0.0899064388957278
Low_ASK,41.70867410154721,0.042542634797554824,1,67,0.0036254316277098157,-0.08859886081601509
Close_ASK,41.961653661767045,0.044720488097683475,7,40,0.05543006795563685,-0.0888368893272542
Volume_ASK,15.303709298507735,0.010424789618916908,4,57,0.004815501200679291,-0.053803753450985425
Mid_Price,41.920501230094615,0.04821259304231296,4,46,0.01341838857650366,-0.08883984169823833
Spread,0.05030090215763644,0.0,1,66,0.0003018366005066969,0.003090603715463658
Volume,15.984867421454885,0.015001698296848831,2,61,0.0013011810370027503,-0.05498742120098443
Open_Mid,42.37287172885511,0.03532935875616028,2,40,0.0111359713266769,-0.089292618609079
High_Mid,42.94750438208899,0.03692701833434309,2,63,0.004177131754602189,-0.08990034088862364
Low_Mid,41.69702839128767,0.0469539713996594,2,44,0.002267896382769199,-0.08860145935870811
Close_Mid,41.920501230094615,0.04830522588753938,0,81,0.0,-0.08883984169823833
Unix_Diff_Since_Earnings,43.841898351722214,0.0,109,1,0.08343109347854775,0.09082349629147757
Unix_Diff_Until_Earnings,43.79051811689012,0.00948715307520187,85,3,0.06276505010671203,-0.0907688769680135
Month,0.1210199801641593,0.04487672726937131,40,17,0.0560092316484604,-0.004805261844012421
Day_Type,0.13409596003425392,0.0,4,56,0.0018822163496024712,-0.00504337677557487
Week_of_Year,0.13678894041013698,0.08919167055077648,116,2,0.1589885542551197,-0.005071736539775884
Quarter,0.4479454090019218,0.0001972862790169394,0,83,0.0,0.009233697972376831
Hour,0.039305816862340505,0.0,0,81,0.0,-0.00280498892976766
Is_Open_Hour,0.06539990517361506,0.01133043684188717,0,84,0.0,0.0035224560197093524
Is_Close_Hour,0.054529410976235246,0.0032398989013995294,0,84,0.0,0.0032163996365852654
Day_of_Week,0.21108862863771713,0.012827513708423055,16,20,0.008831104604610876,0.0063368161058861006
Is_Lunch_Time,0.7531117041517136,0.00228584607961535,0,83,0.0,-0.011951899832638446
Time_Since_Open,0.03592244792105674,0.0,0,82,0.0,-0.0026309181284887018
score,6.428073928569827,0.507833143936572,140,1,0.09983538169703636,-0.034900579316811786
rating,9.95643978236739,0.0,0,82,0.0,-0.04342227410052146
SMA_3,42.302497601375315,0.05108234824798341,4,56,0.0043212955643424965,-0.08921743235378443
SMA_6,42.921505702722484,0.05490281889526827,4,41,0.0021369434273378752,-0.08989912457971627
SMA_12,44.321261415732295,0.0645453693908542,21,21,0.0250499321605366,-0.09130722260501045
SMA_5,42.69168888904119,0.05645683099273269,2,65,0.002924158246298363,-0.08960995023886653
SMA_10,43.938257797343816,0.05158316939972618,2,60,0.005420815245050062,-0.09091539317268627
SMA_20,45.563182180395856,0.03960590862648328,27,1,0.03195867093740474,-0.09257306627402784
EMA_3,42.33016465109286,0.05065649019712559,4,41,0.011503849347501423,-0.08927958832539229
EMA_6,42.999730756669386,0.04694818522918598,2,54,0.001290634565560902,-0.08996301698803677
EMA_12,44.24275015981247,0.04494738394811759,4,51,0.003943827477306826,-0.09120801085549068
EMA_26,47.0020363332176,0.04571975976388787,28,12,0.2019033503099918,-0.09401783151425036
MACD,8.615734325301652,9.064933440150469e-05,15,31,0.011654408260246801,0.04039656659344715
Signal_Line,9.788860958310215,0.01690699320980915,57,4,0.03445611497955487,0.043054215879808844
%K,1.7315037834736111,0.011995015673443632,12,21,0.02858314625370623,0.018129928393037176
%D,2.8384168588262693,0.0072248472319875745,5,51,0.0025693314512857178,0.023190904825739267
CCI,3.103619280384875,0.0013997316591765063,16,25,0.018565034132156363,0.024258242360051696
Return_1H,0.24350317312540848,0.0,3,39,0.00845727274527328,0.0067966683326208255
Return_3H,0.41926611143168235,0.0,7,47,0.014685102096706336,0.008918278156941017
Return_6H,1.7551885773764537,0.00026330759594639375,15,24,0.012375070228005818,0.018245013346470884
RSI_long,7.408869516206634,0.014844470483188488,11,34,0.014105467750426067,0.03747530601263804
RSI_short,7.408869516206634,0.014808976971495413,0,78,0.0,0.03747530601263804
