Feature,Univariate_Score,Mutual_Info_Score,Random_Forest_Importance
Open_BID,17.627005091137,0.00185636918180343,0.004937957211328388
High_BID,17.532992875532198,0.0044033326613086565,0.004887768099121485
Low_BID,17.511274429630554,0.0026490690561513652,0.004911723118039617
Close_BID,17.412074924279448,0.0029512382571565965,0.0051252979352815605
Volume_BID,35.23876748872604,0.0,0.01215037541441903
Open_ASK,17.68710871699371,0.00037044397576768695,0.004940038377898068
High_ASK,17.373230176445244,0.002923839893859581,0.004845549738247208
Low_ASK,17.52174824272925,0.0015206204164668335,0.004882869832767749
Close_ASK,17.4928887424153,0.003480514065596685,0.005091751881575058
Volume_ASK,37.12286268544383,9.102670037730576e-07,0.012157487854964791
Mid_Price,17.359938576744835,0.001790782790684009,0.005062882595322685
Spread,6.751166980556133,0.004906038424917769,0.005802851418885227
Volume,36.334425331399956,0.0008567643852364082,0.012084464946707205
Open_Mid,17.535107183970716,0.0028891499749037486,0.004873790723244057
High_Mid,17.574773858159297,0.004509702868441989,0.005080002517587618
Low_Mid,17.53647282032654,0.0031746625374728943,0.005105966155664909
Close_Mid,17.359938576744835,0.002199090788235214,0.004957171886063858
Unix_Diff_Until_Earnings,0.2790892997120028,0.0053441293694085346,0.01872223494480875
Month,0.5980599753117584,0.004097221292976183,0.003956675067280769
Day_Type,4.945485568205313,0.005081227722703252,0.0026938901719940032
Week_of_Year,0.6423070931639228,0.0017853191576826521,0.007528618818066415
Quarter,2.1765126431898323,0.005613484476259201,0.0020293126443687998
Hour,12.955853886965897,0.00482038920495409,0.005848030349715744
Is_Open_Hour,5.923156436328976,0.0,0.0005089986914811582
Is_Close_Hour,3.355335528015748,0.001679444835376298,0.0013434059698272357
Day_of_Week,0.016372402575096413,0.006309019407356953,0.005121614396538899
Is_Lunch_Time,0.024495671036663048,0.009900948721064617,0.00174869898862986
Time_Since_Open,11.563653099334891,0.003903527986832689,0.005682112406819624
score,10.838005234538345,0.0033010773109332092,0.012032765118991779
rating,7.636007731025951,0.009072067385979654,0.002601820191606762
SMA_3,17.619807222381652,0.0023374563734828158,0.005069155432709154
SMA_6,17.934049814205867,0.0038461727226415388,0.005347442111474929
SMA_12,18.127453612481684,0.005863113340067727,0.005791961640193125
SMA_5,17.740408029672682,0.004359117417933822,0.005153389129241889
SMA_10,18.103205970624963,0.004570462939342823,0.005590175104141937
SMA_20,18.296888288028722,0.006301201484987695,0.006295320888446666
EMA_3,17.482526809804995,0.0037708880728375416,0.005098171224101604
EMA_6,17.730994292820494,0.006372579990243876,0.005021650580525148
EMA_12,18.160783145853696,0.005138337884117439,0.005409341815165108
EMA_26,18.18870920992277,0.00697525155377221,0.006378829603492732
MACD,38.65137016747366,0.0007129520597826122,0.017406176405212387
Signal_Line,7.671642637443834,0.0022313332632799554,0.01814577788927691
%K,76.14924277486146,0.0027110782193922045,0.014067198991527042
