Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,SHAP_Importance,Correlation_With_Target
Open_BID,0.15180927578359996,0.0,14,0.009923937115881071,-0.005450184422691962
High_BID,0.1994318045773019,0.006105803891189421,4,0.0016551070176231474,-0.005563347792900686
Low_BID,0.16638471103482858,0.02117599454069019,8,0.009716243201128476,-0.005478774315573531
Close_BID,0.19838232950328202,0.011183346821051598,18,0.011958359713597405,-0.005399865694807104
Volume_BID,0.4065456791904135,0.0,33,0.01818444571600865,-0.008768684177127284
Open_ASK,0.1628403713976491,0.0,0,0.0,-0.005436282662323322
High_ASK,0.17089362037004624,0.0,1,0.003445567258513783,-0.005555324964013675
Low_ASK,0.14834145367581114,0.014311255021470792,7,0.00824943205621801,-0.005466776993405809
Close_ASK,0.1483174381545238,0.012015063327007303,3,0.002954751268584111,-0.005395464775416747
Volume_ASK,0.8531398547120636,0.0,20,0.023993692447312094,-0.012708717335735642
Mid_Price,0.12632555032757414,0.013055378437415222,5,0.005205855278756268,-0.005397665805825014
Spread,0.055022434236509106,0.0,11,0.0027267069664626623,0.003225507394745364
Volume,0.6148226235077944,0.0028873286364365924,16,0.008809185568527937,-0.010797213727968824
Open_Mid,0.14586592515156052,0.0,0,0.0,-0.005443237544881185
High_Mid,0.13022029701604268,0.004744403890403204,1,0.0003923187159593176,-0.0055593369618982535
Low_Mid,0.1619938771029428,0.013551252418212867,5,0.007536654848490859,-0.005472774819629933
Close_Mid,0.12632555032757414,0.014146337873836012,0,0.0,-0.005397665805825014
Unix_Diff_Until_Earnings,0.10084048514602509,0.0048426702563817425,95,0.031124667278290708,0.004342980622823234
Month,0.2546862050362905,0.0,23,0.011768823240104353,0.006955936070880853
Day_Type,0.8685360786234013,0.001086896440297025,21,0.008757662747877776,-0.012824948571505956
Week_of_Year,0.2833913063952228,0.008792875127935362,38,0.04515188825321535,0.0073299018927173165
Quarter,0.8467061999692952,0.0,0,0.0,0.012659588042879477
Hour,0.2979447163618317,0.0004520448358653617,24,0.011652156983085554,-0.007538650660308122
Is_Open_Hour,0.5311987292894719,0.0007344868061429644,0,0.0,-0.01002978940232424
Is_Close_Hour,0.579143917155014,0.011905449088423392,0,0.0,-0.010472625544935
Day_of_Week,5.610453349124187,0.0024100573104193224,37,0.03908966966506558,-0.03258162995916791
Is_Lunch_Time,0.3096036238216923,0.006081819867995941,1,0.0005428762138647216,0.007657219175598584
Time_Since_Open,0.41531082927882906,0.0,0,0.0,-0.008870774416209315
score,1.1658135902300648,0.10755389107297009,138,0.07769645261771922,-0.014858166492302871
rating,3.655234985554992,0.0,0,0.0,-0.026300863660708274
SMA_3,0.19369016638412512,0.008637995705244927,3,0.006275246223113754,-0.005689174190646185
SMA_6,0.21836887001442543,0.010960386880634942,13,0.00881229541452324,-0.006287911279795999
SMA_12,0.30914979691206673,0.01279920585246197,9,0.010844597258081408,-0.007560973384297398
SMA_5,0.171066440213897,0.016543756807276377,2,0.002021268843768923,-0.006153623426758514
SMA_10,0.26008657296164595,0.0,10,0.01989339373966899,-0.007150010588087952
SMA_20,0.34320531388231346,0.003972661470452721,24,0.008974108719504093,-0.00803258854131883
EMA_3,0.19796134735342055,0.014897228862229328,5,0.011245853836074005,-0.0057124431303918755
EMA_6,0.19718192908676338,0.006926581690278599,5,0.002330914191124291,-0.006278942092389883
EMA_12,0.26628231203691727,0.004730032525244843,3,0.0030229805550149274,-0.007067375144296673
EMA_26,0.33658425803128034,0.013645880870432725,16,0.013182071287577186,-0.007953204351230703
MACD,1.4473416640195402,0.00544263117835575,112,0.051466268278044396,0.01655418372234152
Signal_Line,0.6017897548264869,0.0053514558773901655,68,0.017014985783316595,0.01067527094997267
%K,6.603191679986558,0.0,31,0.01309451021612568,0.03533757183103603
%D,6.956203668688033,0.012882192049565644,40,0.01130490884070017,0.036271614985956546
CCI,2.921441015865743,0.0,45,0.015025742483981249,0.02351592097078381
Return_1H,0.017867358273813597,0.0,42,0.022033216526886532,0.0018395531337107585
Return_3H,2.832234182027543,0.0,58,0.04822737977691982,0.023154264426995308
Return_6H,2.116289090250892,0.0,33,0.012178095788416837,0.02001631291135908
RSI_long,2.529724380334687,0.0052994479933476946,54,0.0312808023271404,0.021869100050105672
RSI_short,2.529724380334687,0.005504246560509074,0,0.0,0.021869100050105672
Middle_Band,0.34320531388231346,0.004202778129005713,0,0.0,-0.00803258854131883
