Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,SHAP_Importance,Correlation_With_Target
Open_BID,21.56667480539146,0.0438721620237319,13,0.00788735029641436,-0.06380577112478036
High_BID,21.46905785462712,0.062107450855414914,7,0.011347409498688881,-0.06367313303493916
Low_BID,21.378821747729358,0.05858648683481027,6,0.008421435157508178,-0.0635026606039979
Close_BID,21.13757453469687,0.05238717031749984,23,0.049964029864464944,-0.06313443505124816
Volume_BID,2.652841644583244,0.0027223779363954037,9,0.006981792050115691,-0.022411577326913346
Open_ASK,21.57178165765311,0.03963022419239581,1,0.0036155859124167972,-0.06377334064678308
High_ASK,21.494515428941117,0.06212898198554462,1,0.0030901150041014215,-0.06366490749290143
Low_ASK,21.33903376272916,0.055006969456748545,4,0.021802103553227717,-0.06347013463249596
Close_ASK,21.093244747404988,0.05453208683711819,5,0.009129172195596131,-0.063100004513029
Volume_ASK,4.329804325315332,0.0,8,0.0017686406785955826,-0.02862625930965912
Mid_Price,21.125881933552275,0.049461941939763276,3,0.00779329005970566,-0.06311722687658516
Spread,3.0712974536253155,0.0,0,0.0,0.024112120272548054
Volume,3.475139435232911,0.010088476340789798,2,0.0015743822757393882,-0.025648012213409288
Open_Mid,21.59637534150928,0.03538438019446,0,0.0,-0.06378959231025583
High_Mid,21.50457873418891,0.059422503076298705,6,0.0051295469231498626,-0.06366902333039093
Low_Mid,21.35394138796813,0.05586030756087035,5,0.005232525190032112,-0.06348640290076624
Close_Mid,21.125881933552275,0.046881501102212564,0,0.0,-0.06311722687658516
Unix_Diff_Until_Earnings,12.721460939812198,0.0,255,0.14653206631159668,-0.04902648539246002
Month,1.3746208152370332,0.026976081372606764,56,0.05308787742816858,-0.016134020646859426
Day_Type,0.02654178902629117,0.006318866490735431,12,0.009990661462966318,0.0022444291971623898
Week_of_Year,1.401760641431832,0.0799184245487492,170,0.25128544855970897,-0.01628961598908063
Quarter,0.0031347034327378035,0.015180282032049242,0,0.0,0.000718122704711277
Hour,0.09584722190750458,0.0,0,0.0,-0.004378715010830092
Is_Open_Hour,0.25360899833774997,0.00076508169852052,0,0.0,0.006930451614607591
Is_Close_Hour,0.09405709876161376,0.0037039839090053928,0,0.0,-0.004220727758365683
Day_of_Week,2.944493014971297,0.0,26,0.055885731199028094,0.023610566582647152
Is_Lunch_Time,0.10916493584889979,0.010356825032104888,0,0.0,-0.00454693353822222
Time_Since_Open,0.08312488190555835,0.0,0,0.0,-0.0039747320233800565
score,32.41752471141584,0.477204804389856,161,0.2097778840844646,-0.07810818015173027
rating,42.53133046224491,0.008718266273891828,0,0.0,-0.08939155748794292
SMA_3,21.41093310064778,0.05323626509989943,2,0.0009309540234545214,-0.06355431257006927
SMA_6,21.57041564377219,0.05854958186060921,7,0.0065089203819150235,-0.06377934301925947
SMA_12,21.823899312604055,0.04537786034963709,9,0.006094799151585646,-0.06416431816843371
SMA_5,21.560333931641456,0.049711770643757314,4,0.007327083017765171,-0.06373769543341368
SMA_10,21.746532920340016,0.04978754386371009,12,0.038646638169269124,-0.06406365783617929
SMA_20,22.100903661948962,0.051466516039762045,20,0.0304893605504716,-0.06453026294524022
EMA_3,21.374360965178354,0.06335862086098465,4,0.010082685781059276,-0.063489425843823
EMA_6,21.55690632077597,0.05588141709531613,3,0.005908223610582726,-0.06376632440327512
EMA_12,21.735669487835175,0.05233367467070993,5,0.006985981633244801,-0.0640829728642478
EMA_26,21.915839099553903,0.04994117158447553,32,0.031645068476661736,-0.06430577403191151
MACD,0.05201120094739457,0.008180029803713573,76,0.06364818845792816,-0.0031384381935737338
Signal_Line,0.2529445994622043,0.00616540809541144,100,0.05826282520632859,-0.0069213070786595665
%K,2.52899968522006,0.01534882261760906,10,0.018675166945153494,0.021885567657193405
%D,2.3998729857740346,0.0018150732421697846,29,0.028550835090818367,0.021309942828416695
CCI,0.4259789557342412,0.014235065775170641,32,0.06130235595501661,0.008981811184899158
Return_1H,0.7905411037039616,0.0,6,0.003296356193696118,0.012235244581958682
Return_3H,0.4177830505776006,0.0,5,0.008368130898339736,0.008894911233519487
Return_6H,0.3203714877401362,0.0,13,0.01103939079902273,0.007789248635443613
RSI_long,4.239604530397891,0.009816581536289393,36,0.022870178339009766,0.028342721289020822
RSI_short,4.239604530397891,0.009640556942430933,0,0.0,0.028342721289020822
Middle_Band,22.100903661948962,0.05197979646122142,0,0.0,-0.06453026294524022
Upper_Band,24.918767367719976,0.09766329250011907,56,0.06907438785060101,-0.06854295950701328
Lower_Band,19.137836487865705,0.08423999194762,35,0.05993445503038909,-0.06007112031751999
High_Low,0.210964316686671,0.0,5,0.0008645616240792528,-0.006317686940434442
High_Close,0.11293675586182654,0.0,4,0.002775271949275554,-0.0046248215874413745
Low_Close,0.24435782705250872,0.0,16,0.017257814163295547,-0.0068048005776120135
True_Range,0.292282086008452,0.004672988114477805,2,0.0005942175744832477,-0.007443599793163003
ATR,0.43372831523792904,0.02176126660660649,96,0.0575793199327083,-0.009065484645724098
Volume_SMA_3,4.616110364496476,0.0,7,0.0036480131638763334,-0.02955923693401985
Volume_SMA_6,3.8618463014891065,0.008926226903900103,39,0.028981110437306768,-0.02703172277695387
OBV,0.9908257113899576,0.043240083632795745,144,0.22602932188634506,0.01371485961312402
MF_Multiplier,1.593872292213011,0.004969101756602479,9,0.01473248653248773,0.017371914596181703
MF_Volume,1.5600234511610356,0.011032164936709554,5,0.005797075345335602,0.01718634280254605
CMF,7.091071256369077,0.005623491379759704,65,0.04321428713597207,0.036622541787426854
Volatility,7.1791101001735935,0.008847896573142666,11,0.004164352584048412,-0.03684513258596667
Return,0.7905411037039616,0.0,0,0.0,0.012235244581958682
Volume_change,0.03196161624929527,0.0,4,0.002250177858192035,0.0024604601360884715
Lag_Mid_Price_1,21.54280125268624,0.035528099016769676,2,0.0010176474725521808,-0.06370800887552619
Lag_Mid_Price_2,21.524813529791224,0.03922147720652802,1,0.0024128554016794373,-0.06375200291942207
Lag_Mid_Price_3,21.58904299803996,0.042313534835268785,2,0.0035950317237303368,-0.06385078274249523
Lag_Mid_Price_4,21.721579203416578,0.04006940463440767,4,0.0037737846113535404,-0.06400234800949445
