Datetime,Open,High,Low,Close,Adj Close,Volume
2024-09-30 09:30:00-04:00,231.0,232.34120178222656,230.94000244140625,232.29200744628906,232.29200744628906,5018142
2024-09-30 09:35:00-04:00,232.2899932861328,232.30999755859375,231.56500244140625,232.11590576171875,232.11590576171875,1291722
2024-09-30 09:40:00-04:00,232.110107421875,232.1999969482422,231.5399932861328,231.5399932861328,231.5399932861328,803458
2024-09-30 09:45:00-04:00,231.55499267578125,231.89999389648438,231.27000427246094,231.62269592285156,231.62269592285156,661990
2024-09-30 09:50:00-04:00,231.6300048828125,231.6750030517578,231.0399932861328,231.33999633789062,231.33999633789062,616018
2024-09-30 09:55:00-04:00,231.3249969482422,231.60000610351562,230.72000122070312,230.9250030517578,230.9250030517578,518412
2024-09-30 10:00:00-04:00,230.9250030517578,231.3300018310547,230.9250030517578,231.1199951171875,231.1199951171875,492989
2024-09-30 10:05:00-04:00,231.1009063720703,231.19000244140625,230.5399932861328,230.82000732421875,230.82000732421875,449720
2024-09-30 10:10:00-04:00,230.83990478515625,230.83990478515625,230.5399932861328,230.6320037841797,230.6320037841797,426023
2024-09-30 10:15:00-04:00,230.63999938964844,230.77999877929688,230.30999755859375,230.5966033935547,230.5966033935547,454535
2024-09-30 10:20:00-04:00,230.58999633789062,230.73989868164062,230.41000366210938,230.5399932861328,230.5399932861328,350428
2024-09-30 10:25:00-04:00,230.5399932861328,231.0,230.3800048828125,230.97999572753906,230.97999572753906,704080
2024-09-30 10:30:00-04:00,230.97000122070312,231.22500610351562,230.75,231.22500610351562,231.22500610351562,535767
2024-09-30 10:35:00-04:00,231.1999969482422,231.5,231.0399932861328,231.11050415039062,231.11050415039062,433784
2024-09-30 10:40:00-04:00,231.1199951171875,231.35000610351562,231.01010131835938,231.09010314941406,231.09010314941406,247605
2024-09-30 10:45:00-04:00,231.1199951171875,231.59559631347656,231.10009765625,231.4600067138672,231.4600067138672,381482
2024-09-30 10:50:00-04:00,231.4600067138672,231.67999267578125,231.4208984375,231.55999755859375,231.55999755859375,348856
2024-09-30 10:55:00-04:00,231.5500030517578,231.75999450683594,231.52999877929688,231.61000061035156,231.61000061035156,298173
2024-09-30 11:00:00-04:00,231.5449981689453,231.72999572753906,231.51150512695312,231.7075958251953,231.7075958251953,334346
2024-09-30 11:05:00-04:00,231.7050018310547,231.91000366210938,231.3800048828125,231.4499969482422,231.4499969482422,510703
2024-09-30 11:10:00-04:00,231.46499633789062,231.82000732421875,231.44000244140625,231.7899932861328,231.7899932861328,287648
