Datetime,Open,High,Low,Close,Volume
07.10.2024 13:30:00.000,224.594,225.123,224.373,224.534,2890.0001
07.10.2024 13:31:00.000,224.564,225.004,224.563,224.933,1570.0001
07.10.2024 13:32:00.000,224.933,224.984,224.613,224.894,1320.0001
07.10.2024 13:33:00.000,224.853,224.893,224.314,224.694,1630
07.10.2024 13:34:00.000,224.684,224.734,224.374,224.473,1870
07.10.2024 13:35:00.000,224.434,224.704,224.313,224.614,1800
07.10.2024 13:36:00.000,224.584,224.614,224.133,224.144,2020
07.10.2024 13:37:00.000,224.144,224.394,224.073,224.294,1420
07.10.2024 13:38:00.000,224.293,224.633,224.244,224.463,1500
07.10.2024 13:39:00.000,224.494,224.944,224.494,224.943,1700
07.10.2024 13:40:00.000,224.913,225.104,224.763,225.023,1610
07.10.2024 13:41:00.000,224.994,225.054,224.873,225.053,1150
07.10.2024 13:42:00.000,225.044,225.054,224.704,224.824,1270
07.10.2024 13:43:00.000,224.853,225.004,224.794,224.884,1100
07.10.2024 13:44:00.000,224.874,225.033,224.833,224.883,1230
07.10.2024 13:45:00.000,224.864,224.963,224.803,224.914,1309.9999
07.10.2024 13:46:00.000,224.924,225.374,224.913,225.254,1470
07.10.2024 13:47:00.000,225.254,225.453,225.133,225.134,1690.0001
07.10.2024 13:48:00.000,225.163,225.204,224.983,225.084,1370
07.10.2024 13:49:00.000,225.073,225.174,225.033,225.043,1330
07.10.2024 13:50:00.000,225.033,225.034,224.854,224.914,1200
07.10.2024 13:51:00.000,224.904,225.094,224.873,225.023,1410
07.10.2024 13:52:00.000,225.023,225.154,225.023,225.073,1080
07.10.2024 13:53:00.000,225.073,225.084,224.893,224.953,1230
07.10.2024 13:54:00.000,224.963,225.014,224.773,224.874,1270
07.10.2024 13:55:00.000,224.894,225.244,224.893,225.194,1400
07.10.2024 13:56:00.000,225.193,225.264,224.963,225.243,1520
07.10.2024 13:57:00.000,225.203,225.224,225.053,225.053,1230
07.10.2024 13:58:00.000,225.063,225.204,225.014,225.164,910
07.10.2024 13:59:00.000,225.144,225.194,225.033,225.074,1610
07.10.2024 14:00:00.000,225.074,225.264,225.033,225.203,1750
07.10.2024 14:01:00.000,225.203,225.214,225.104,225.123,1540
07.10.2024 14:02:00.000,225.133,225.293,225.093,225.264,1070.0001
07.10.2024 14:03:00.000,225.253,225.394,225.233,225.323,1440.0001
07.10.2024 14:04:00.000,225.334,225.454,225.333,225.434,1470
07.10.2024 14:05:00.000,225.424,225.553,225.343,225.453,1360
07.10.2024 14:06:00.000,225.454,225.464,225.333,225.443,1350
07.10.2024 14:07:00.000,225.444,225.474,225.363,225.384,1160
07.10.2024 14:08:00.000,225.374,225.383,225.183,225.223,1670
07.10.2024 14:09:00.000,225.224,225.244,225.063,225.164,1059.9999
07.10.2024 14:10:00.000,225.153,225.164,224.953,224.983,1490
07.10.2024 14:11:00.000,224.984,225.054,224.534,224.634,1550
07.10.2024 14:12:00.000,224.634,224.734,224.454,224.564,1660
07.10.2024 14:13:00.000,224.583,224.684,224.524,224.653,1020
07.10.2024 14:14:00.000,224.664,225.193,224.664,225.093,1360
07.10.2024 14:15:00.000,225.113,225.164,224.943,224.994,1220
07.10.2024 14:16:00.000,225.004,225.214,225.003,225.134,1120
07.10.2024 14:17:00.000,225.134,225.224,225.084,225.224,1010
07.10.2024 14:18:00.000,225.223,225.303,225.183,225.193,1200
07.10.2024 14:19:00.000,225.124,225.274,225.113,225.263,810
07.10.2024 14:20:00.000,225.284,225.314,225.204,225.253,990
07.10.2024 14:21:00.000,225.244,225.384,225.214,225.303,960
07.10.2024 14:22:00.000,225.303,225.404,225.243,225.393,940
07.10.2024 14:23:00.000,225.393,225.424,225.254,225.324,1140
07.10.2024 14:24:00.000,225.334,225.454,225.323,225.323,1260
07.10.2024 14:25:00.000,225.323,225.434,225.323,225.404,1110
07.10.2024 14:26:00.000,225.393,225.434,225.324,225.413,530
07.10.2024 14:27:00.000,225.423,225.544,225.403,225.504,760
07.10.2024 14:28:00.000,225.494,225.523,225.263,225.294,970
07.10.2024 14:29:00.000,225.293,225.384,225.243,225.333,740
07.10.2024 14:30:00.000,225.354,225.394,225.254,225.304,1200
07.10.2024 14:31:00.000,225.294,225.364,225.253,225.304,1030
07.10.2024 14:32:00.000,225.264,225.303,225.203,225.223,1250
07.10.2024 14:33:00.000,225.223,225.373,225.213,225.344,910
07.10.2024 14:34:00.000,225.353,225.473,225.334,225.403,740
07.10.2024 14:35:00.000,225.414,225.494,225.353,225.484,690
07.10.2024 14:36:00.000,225.494,225.634,225.483,225.573,700
07.10.2024 14:37:00.000,225.573,225.704,225.534,225.593,1000
07.10.2024 14:38:00.000,225.593,225.593,225.533,225.574,1010
07.10.2024 14:39:00.000,225.573,225.644,225.533,225.604,1050
07.10.2024 14:40:00.000,225.604,225.613,225.403,225.563,1580
07.10.2024 14:41:00.000,225.553,225.604,225.433,225.594,1120
07.10.2024 14:42:00.000,225.604,225.624,225.503,225.614,810
