Datetime,Open,High,Low,Close,Volume
2024-10-07 13:30:00,224.594,224.674,224.484,224.484,80.0
2024-10-07 13:30:01,224.473,224.554,224.374,224.374,120.0
2024-10-07 13:30:02,224.373,224.583,224.373,224.483,100.0
2024-10-07 13:30:03,224.534,224.594,224.533,224.574,110.0
2024-10-07 13:30:04,224.623,224.794,224.623,224.794,40.0
2024-10-07 13:30:05,224.793,224.794,224.584,224.634,50.0
2024-10-07 13:30:06,224.633,224.634,224.633,224.633,30.000000000000004
2024-10-07 13:30:07,224.704,224.804,224.704,224.753,70.00000000000001
2024-10-07 13:30:08,224.734,224.734,224.694,224.734,70.00000000000001
2024-10-07 13:30:09,224.703,224.783,224.703,224.773,70.00000000000001
2024-10-07 13:30:10,224.784,224.803,224.693,224.693,80.0
2024-10-07 13:30:11,224.723,224.723,224.654,224.693,70.00000000000001
2024-10-07 13:30:12,224.723,224.734,224.713,224.713,30.000000000000004
2024-10-07 13:30:13,224.774,224.834,224.773,224.773,40.0
2024-10-07 13:30:14,224.783,224.853,224.783,224.853,30.000000000000004
2024-10-07 13:30:15,224.874,224.954,224.874,224.954,30.000000000000004
2024-10-07 13:30:16,224.934,224.993,224.913,224.913,70.00000000000001
2024-10-07 13:30:17,224.913,224.913,224.894,224.904,70.00000000000001
2024-10-07 13:30:18,224.913,224.964,224.913,224.964,70.00000000000001
2024-10-07 13:30:19,224.963,225.093,224.963,225.093,50.0
2024-10-07 13:30:20,225.123,225.123,225.084,225.084,60.0
2024-10-07 13:30:21,225.023,225.024,224.993,224.993,40.0
2024-10-07 13:30:22,225.033,225.064,225.033,225.064,30.000000000000004
2024-10-07 13:30:23,225.063,225.114,225.063,225.103,50.0
2024-10-07 13:30:24,225.104,225.104,224.974,224.974,50.0
2024-10-07 13:30:25,224.943,224.944,224.943,224.943,30.000000000000004
2024-10-07 13:30:26,225.004,225.084,225.004,225.084,30.000000000000004
2024-10-07 13:30:27,225.033,225.033,225.033,225.033,10.0
2024-10-07 13:30:28,225.023,225.063,225.023,225.063,20.0
2024-10-07 13:30:29,225.063,225.064,225.063,225.064,60.0
2024-10-07 13:30:30,225.024,225.024,224.943,224.944,60.0
2024-10-07 13:30:31,224.983,224.994,224.954,224.993,70.00000000000001
2024-10-07 13:30:32,224.963,224.993,224.953,224.993,60.0
2024-10-07 13:30:34,225.053,225.093,225.044,225.044,40.0
2024-10-07 13:30:35,225.043,225.043,224.983,224.983,50.0
2024-10-07 13:30:36,225.014,225.023,225.014,225.023,30.000000000000004
2024-10-07 13:30:37,225.024,225.024,225.024,225.024,10.0
2024-10-07 13:30:38,225.003,225.003,224.864,224.894,30.000000000000004
2024-10-07 13:30:39,224.893,224.944,224.893,224.944,50.0
2024-10-07 13:30:40,224.973,225.063,224.973,225.063,70.00000000000001
2024-10-07 13:30:41,225.094,225.094,225.083,225.084,60.0
2024-10-07 13:30:42,225.084,225.084,225.063,225.063,70.00000000000001
2024-10-07 13:30:43,225.063,225.063,225.013,225.013,30.000000000000004
2024-10-07 13:30:44,225.003,225.053,225.003,225.053,40.0
2024-10-07 13:30:45,225.053,225.053,225.053,225.053,20.0
2024-10-07 13:30:46,225.054,225.054,225.034,225.034,30.000000000000004
2024-10-07 13:30:47,225.013,225.013,224.884,224.924,60.0
2024-10-07 13:30:48,224.923,224.923,224.923,224.923,10.0
2024-10-07 13:30:49,224.883,224.883,224.784,224.793,40.0
2024-10-07 13:30:50,224.794,224.794,224.793,224.793,20.0
2024-10-07 13:30:51,224.844,224.863,224.843,224.843,40.0
2024-10-07 13:30:52,224.854,224.854,224.843,224.853,30.000000000000004
2024-10-07 13:30:53,224.854,224.873,224.854,224.864,30.000000000000004
2024-10-07 13:30:54,224.834,224.834,224.713,224.713,50.0
2024-10-07 13:30:55,224.714,224.744,224.714,224.743,30.000000000000004
2024-10-07 13:30:56,224.744,224.744,224.704,224.704,20.0
2024-10-07 13:30:57,224.744,224.744,224.623,224.623,40.0
2024-10-07 13:30:58,224.584,224.584,224.544,224.544,80.0
2024-10-07 13:30:59,224.534,224.554,224.483,224.534,60.0
2024-10-07 13:31:00,224.564,224.673,224.564,224.673,90.0
2024-10-07 13:31:01,224.613,224.664,224.613,224.663,80.0
2024-10-07 13:31:02,224.613,224.613,224.574,224.574,60.0
2024-10-07 13:31:03,224.563,224.653,224.563,224.653,50.0
2024-10-07 13:31:04,224.624,224.684,224.624,224.684,60.0
2024-10-07 13:31:05,224.704,224.704,224.704,224.704,10.0
2024-10-07 13:31:06,224.673,224.744,224.673,224.743,50.0
2024-10-07 13:31:07,224.744,224.744,224.723,224.723,20.0
2024-10-07 13:31:08,224.804,224.804,224.804,224.804,10.0
2024-10-07 13:31:09,224.803,224.864,224.803,224.834,30.000000000000004
2024-10-07 13:31:11,224.863,224.874,224.824,224.824,40.0
2024-10-07 13:31:12,224.833,224.864,224.833,224.864,30.000000000000004
2024-10-07 13:31:13,224.893,224.893,224.853,224.883,30.000000000000004
2024-10-07 13:31:14,224.844,224.844,224.843,224.843,20.0
2024-10-07 13:31:15,224.854,224.934,224.854,224.934,40.0
2024-10-07 13:31:16,225.003,225.003,224.963,224.963,50.0
2024-10-07 13:31:17,224.934,224.934,224.913,224.913,20.0
2024-10-07 13:31:19,224.904,224.904,224.874,224.874,20.0
2024-10-07 13:31:20,224.853,224.853,224.853,224.853,10.0
2024-10-07 13:31:21,224.853,224.853,224.853,224.853,10.0
2024-10-07 13:31:22,224.893,224.893,224.893,224.893,10.0
2024-10-07 13:31:24,224.933,224.934,224.913,224.913,30.000000000000004
2024-10-07 13:31:25,224.943,224.944,224.943,224.944,20.0
2024-10-07 13:31:26,224.914,224.914,224.863,224.863,30.000000000000004
2024-10-07 13:31:27,224.864,224.864,224.864,224.864,10.0
2024-10-07 13:31:28,224.843,224.904,224.843,224.904,30.000000000000004
2024-10-07 13:31:29,224.863,224.863,224.863,224.863,10.0
2024-10-07 13:31:30,224.863,224.863,224.863,224.863,10.0
2024-10-07 13:31:31,224.863,224.863,224.863,224.863,10.0
2024-10-07 13:31:32,224.783,224.814,224.783,224.783,30.000000000000004
2024-10-07 13:31:34,224.794,224.844,224.794,224.844,30.000000000000004
2024-10-07 13:31:35,224.843,224.863,224.843,224.863,30.000000000000004
2024-10-07 13:31:36,224.844,224.853,224.844,224.853,30.000000000000004
2024-10-07 13:31:37,224.853,224.953,224.853,224.924,70.00000000000001
2024-10-07 13:31:38,224.953,224.953,224.913,224.913,20.0
2024-10-07 13:31:39,224.913,224.913,224.874,224.913,40.0
2024-10-07 13:31:40,224.924,224.924,224.924,224.924,20.0
2024-10-07 13:31:42,224.923,224.923,224.923,224.923,10.0
2024-10-07 13:31:43,224.893,224.924,224.893,224.924,20.0
2024-10-07 13:31:44,224.923,224.923,224.923,224.923,20.0
2024-10-07 13:31:45,224.853,224.853,224.833,224.833,20.0
