Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,SHAP_Importance,Correlation_With_Target
Open_BID,13.935501453072638,0.04873232725395105,8,0.0056575829007158625,-0.05133879366989191
High_BID,13.861852047087224,0.053184186492092334,13,0.011164547270566197,-0.05118860288990845
Low_BID,13.800894487120305,0.05579502342426723,8,0.004012836638652627,-0.05106194200489256
Close_BID,13.61356901918453,0.049643325778216285,23,0.07769952444307424,-0.05066782460853325
Volume_BID,2.6480995021573923,0.008538953983231234,13,0.007857439367132565,-0.022392217365052147
Open_ASK,13.940126440726074,0.05368177159939158,3,0.0026024332981600647,-0.05130988667710312
High_ASK,13.867222515382053,0.05207298443348907,3,0.007037206353084911,-0.05118339171334396
Low_ASK,13.792879636840023,0.05046571140447442,4,0.00354446665051997,-0.051032943812772125
Close_ASK,13.552588587819374,0.05280287030084585,4,0.00828776307854816,-0.050640360241051896
Volume_ASK,4.80107687097435,2.054777144100406e-05,3,0.003019269872499727,-0.030135150105274455
Mid_Price,13.597896709201295,0.05011840997500605,2,0.006912796620008998,-0.050654095832571855
Spread,1.950296431759253,0.011973769287238367,1,0.00018659602657341009,0.019215972286474425
Volume,3.682561834636661,0.015079730699595117,3,0.001038002905992551,-0.02640080368956177
Open_Mid,13.953363118344065,0.04827667774211131,0,0.0,-0.051324370129146146
High_Mid,13.874437877078698,0.055030254078492824,7,0.004994409029284988,-0.051186001878502196
Low_Mid,13.768435004893048,0.05416603485769045,2,0.001684753582190123,-0.05104744475266898
Close_Mid,13.597896709201295,0.04850775176951183,0,0.0,-0.050654095832571855
Unix_Diff_Until_Earnings,9.215410338260797,0.0,233,0.1245492278016738,-0.04173482199166756
Month,0.7523210942437527,0.019511788144832565,48,0.03504988740955518,-0.011936137552766013
Day_Type,2.048641298257137,0.0045567113014166605,10,0.00765827665828131,0.01969417399232043
Week_of_Year,0.7196100676371234,0.06414018842677938,177,0.2656070557326707,-0.011674407214741223
Quarter,0.046539755860238334,0.007001840221212863,0,0.0,0.002957430580863729
Hour,0.006093026752964533,0.0,1,0.0005283028802520241,-0.00156179128543954
Is_Open_Hour,0.282279297451022,0.003471078066510147,0,0.0,-0.007311672110517975
Is_Close_Hour,0.057559337794422724,0.0,0,0.0,-0.0033018886751960963
Day_of_Week,1.4952657908197473,0.0,18,0.019718075194808848,0.01682896599322703
Is_Lunch_Time,0.040776374528929606,0.009109234242680175,1,0.0006377147265573442,0.0027788594888988882
Time_Since_Open,0.02801465353951352,0.00028879033938422616,0,0.0,-0.0023209701703308383
score,31.806011177902192,0.44990711987954324,174,0.169682659871261,-0.0773750893432208
rating,42.64374601660196,0.0022125162163180168,1,0.0038753343030208717,-0.0895086565328711
SMA_3,13.685578543776039,0.057611790315342803,9,0.01722873441717219,-0.0508667300837331
SMA_6,13.69162119700226,0.05773069896577532,7,0.005625592807112507,-0.05084050811319263
SMA_12,13.758043948652794,0.04791688571006092,11,0.007919747540719311,-0.050965591822603074
SMA_5,13.710265385326256,0.052347137805814015,4,0.004700896763522304,-0.05089394799677649
SMA_10,13.759649872666218,0.03832787374826396,2,0.0024743142569193083,-0.05095798858653211
SMA_20,13.680475027009617,0.045224139201880176,23,0.023396226338897992,-0.05084299620514798
EMA_3,13.640749689517682,0.06320274901132672,9,0.008659842975096449,-0.050798983140843745
EMA_6,13.70699487882202,0.05039762645251877,7,0.009824611916711955,-0.05087759118033475
EMA_12,13.669273286592178,0.05610839098272735,2,0.003404997421512292,-0.05087851397947318
EMA_26,13.535622657328831,0.04521723309665049,40,0.06059201249440125,-0.050560836322244285
MACD,0.78555009921927,0.012881691738612977,90,0.08736036692925744,-0.01219661909425973
Signal_Line,1.1824820239315157,0.010132436271026002,115,0.08027704741769164,-0.014963411737440424
%K,0.6452014336112976,0.006853548003693755,9,0.006789166776083007,0.011054474191098507
%D,0.34752158463175603,0.0004960981186066249,16,0.011816438307823874,0.008102070211634782
CCI,0.3348712237033864,0.011201482779458649,53,0.04858378616305645,-0.007963514795111593
Return_1H,0.05279211887584002,0.0,6,0.019455866290252418,0.0031620348208916127
Return_3H,0.05516278800028651,0.010018709996302055,8,0.013732541512607001,0.003232259543689775
Return_6H,0.005798264030350316,0.0,7,0.0033285834592032574,-0.0010479232590618892
RSI_long,0.6536622173913934,0.0026750032544993196,41,0.03692926147466875,0.01113785142427659
RSI_short,0.6536622173913934,0.002645966333659988,0,0.0,0.01113785142427659
Middle_Band,13.680475027009617,0.045242982637043516,0,0.0,-0.05084299620514798
Upper_Band,15.533837651479304,0.08884375745383677,64,0.05181600634877643,-0.05415692672296757
Lower_Band,11.796061360206775,0.0805222025562089,23,0.032814317335303426,-0.04717790168994024
High_Low,0.12172909774799491,0.01105012479904044,4,0.0019775143025199914,-0.004818938705142273
High_Close,1.183990395766499,0.012240880007185151,8,0.005008033184934615,-0.014972576730585274
Low_Close,0.2340810680286632,0.0,5,0.002759620799629994,-0.006657085199208268
True_Range,0.6447579437265619,0.008867147568930367,2,0.00107642063440174,-0.011049283339460203
ATR,0.010738688874060499,0.017038760255243757,94,0.06691756191441608,-0.00110316333895355
Volume_SMA_3,5.199526647159576,0.0,10,0.004097078992427862,-0.03136266164317547
Volume_SMA_6,5.43765788343121,0.01056014432871466,59,0.0386467334780486,-0.03207794341818726
OBV,1.9573075625601797,0.041555586032867575,144,0.21364982651025646,0.01924450385415355
MF_Multiplier,1.5624297251633696,0.0052300398408406945,2,0.0018453531080777049,0.017199773663543638
MF_Volume,1.4451316570480512,0.011060099584531802,2,0.000816996940488486,0.016541541904217638
CMF,3.8011540077116255,0.0,61,0.04208109215959721,0.02682171907725106
Volatility,5.188929136483261,0.009160664727526191,4,0.0015628541518539602,-0.03133797119076576
Return,0.05279211887584002,0.0,0,0.0,0.0031620348208916127
Volume_change,0.11244181417635017,0.0,7,0.0035571656641303754,0.004614419895265343
Lag_Mid_Price_1,13.651418825162194,0.05112682325388507,1,0.0007466126982875576,-0.05079974912636409
Lag_Mid_Price_2,13.817293743061489,0.04282671124335424,3,0.001989032078999342,-0.05107772252455334
Lag_Mid_Price_3,13.71634380155059,0.038906947133878544,6,0.004523723393126308,-0.05090426948790139
Lag_Mid_Price_4,13.693718650336129,0.03876367719554086,3,0.0015020833004928743,-0.05082741881489117
Lag_Return_1,0.182842991884587,0.0,1,0.000986445722707336,0.00588457045919899
Lag_Return_2,0.052884417677226694,0.003175051579598298,5,0.0029580880082185944,-0.003164788749546954
Lag_Return_3,0.0053362382282290755,0.0,7,0.0024262879430585046,-0.001005310943092752
Lag_Return_4,0.37101715126792223,0.011553982857998246,2,0.0015114818591098885,-0.008382314381359723
Return_1,0.05279211887584002,0.0,0,0.0,0.0031620348208916127
Return_5,0.01698338210167527,0.016633703914537,16,0.03804992347474055,-0.0017934816086473404
Return_10,0.003690425460363754,0.0,36,0.02742193355959761,-0.0008359156941084578
Rolling_Mean_5,13.710265385326256,0.05204459315453769,0,0.0,-0.05089394799677649
Rolling_Std_5,5.188929136483261,0.009035501700053628,0,0.0,-0.03133797119076576
