Datetime,Open,High,Low,Close,Adj Close,Volume,Higher
2022-09-21 09:30:00,157.33999633789062,158.39999389648438,156.52099609375,157.38999938964844,157.38999938964844,18034331,False
2022-09-21 10:30:00,157.3917999267578,157.4250030517578,155.9199981689453,156.13499450683594,156.13499450683594,8075424,True
2022-09-21 11:30:00,156.13999938964844,157.19000244140625,156.11500549316406,157.14739990234375,157.14739990234375,6426388,True
2022-09-21 12:30:00,157.13999938964844,157.37120056152344,156.96200561523438,157.23199462890625,157.23199462890625,5823498,False
2022-09-21 13:30:00,157.22999572753906,158.0500030517578,154.44000244140625,155.1009979248047,155.1009979248047,16360872,True
2022-09-21 14:30:00,155.10000610351562,158.74000549316406,154.69000244140625,155.7100067138672,155.7100067138672,25057741,False
2022-09-21 15:30:00,155.7050018310547,155.9600067138672,153.60000610351562,153.7100067138672,153.7100067138672,12991960,False
2022-09-22 09:30:00,153.0,153.52999877929688,151.66000366210938,152.4199981689453,152.4199981689453,22307163,False
2022-09-22 10:30:00,152.41099548339844,152.80999755859375,150.91000366210938,151.22000122070312,151.22000122070312,12456903,True
2022-09-22 11:30:00,151.22999572753906,152.41000366210938,151.16000366210938,152.0330047607422,152.0330047607422,8220925,True
2022-09-22 12:30:00,152.0399932861328,152.91000366210938,151.8800048828125,152.4062042236328,152.4062042236328,7917730,False
2022-09-22 13:30:00,152.39999389648438,152.97999572753906,152.0,152.10000610351562,152.10000610351562,7593559,True
2022-09-22 14:30:00,152.11000061035156,153.97000122070312,151.9698028564453,153.6699981689453,153.6699981689453,11042606,False
2022-09-22 15:30:00,153.67999267578125,154.47000122070312,152.61000061035156,152.6999969482422,152.6999969482422,10425264,False
2022-09-23 09:30:00,151.0,151.47000122070312,149.31199645996094,150.4398956298828,150.4398956298828,28339242,False
2022-09-23 10:30:00,150.42999267578125,150.64999389648438,149.61000061035156,150.0500030517578,150.0500030517578,11400267,False
2022-09-23 11:30:00,150.05499267578125,150.5500030517578,149.4499969482422,149.5,149.5,9990164,True
2022-09-23 12:30:00,149.47500610351562,150.3699951171875,149.41000366210938,149.68130493164062,149.68130493164062,7781715,False
2022-09-23 13:30:00,149.67999267578125,150.0,148.92999267578125,149.22000122070312,149.22000122070312,8608513,True
2022-09-23 14:30:00,149.21499633789062,149.8800048828125,148.55999755859375,149.77000427246094,149.77000427246094,11333332,True
2022-09-23 15:30:00,149.75,150.66000366210938,149.67999267578125,150.50999450683594,150.50999450683594,11644991,True
2022-09-26 09:30:00,150.41799926757812,153.7700958251953,150.13999938964844,153.58729553222656,153.58729553222656,23584395,False
2022-09-26 10:30:00,153.57969665527344,153.6999969482422,151.6999969482422,151.71499633789062,151.71499633789062,12468456,False
2022-09-26 11:30:00,151.71499633789062,152.08999633789062,150.8000030517578,150.86720275878906,150.86720275878906,11755840,False
2022-09-26 12:30:00,150.86000061035156,151.5399932861328,150.39999389648438,150.75,150.75,7995351,False
2022-09-26 13:30:00,150.74000549316406,151.3000030517578,150.0399932861328,150.64999389648438,150.64999389648438,8281154,True
2022-09-26 14:30:00,150.64999389648438,151.86000061035156,150.3000030517578,151.6750030517578,151.6750030517578,9570308,False
2022-09-26 15:30:00,151.67999267578125,152.0,150.55999755859375,150.8699951171875,150.8699951171875,10188206,True
2022-09-27 09:30:00,152.89999389648438,154.72000122070312,152.5,152.78990173339844,152.78990173339844,20286606,False
2022-09-27 10:30:00,152.7895050048828,153.72000122070312,151.57000732421875,151.7550048828125,151.7550048828125,10804703,False
2022-09-27 11:30:00,151.7550048828125,152.38999938964844,149.94500732421875,150.8455047607422,150.8455047607422,11723307,True
2022-09-27 12:30:00,150.85000610351562,151.82000732421875,150.7449951171875,151.29600524902344,151.29600524902344,9505780,False
2022-09-27 13:30:00,151.2899932861328,151.6300048828125,150.72000122070312,151.11590576171875,151.11590576171875,6548094,True
2022-09-27 14:30:00,151.1199951171875,152.4499969482422,150.92999267578125,151.52000427246094,151.52000427246094,9241224,True
2022-09-27 15:30:00,151.52000427246094,152.19000244140625,151.02999877929688,151.75,151.75,8325653,False
2022-09-28 09:30:00,147.63999938964844,148.3699951171875,144.83999633789062,147.36990356445312,147.36990356445312,46429912,False
2022-09-28 10:30:00,147.35499572753906,147.42880249023438,146.05999755859375,146.85000610351562,146.85000610351562,19021163,True
2022-09-28 11:30:00,146.86000061035156,147.6999969482422,146.33999633789062,147.14999389648438,147.14999389648438,14416388,True
2022-09-28 12:30:00,147.14999389648438,148.3800048828125,147.0500030517578,147.91000366210938,147.91000366210938,13068925,False
2022-09-28 13:30:00,147.91270446777344,148.08230590820312,147.2100067138672,147.90769958496094,147.90769958496094,11635718,True
