Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,RFECV_Ranking,SHAP_Importance,Correlation_With_Target
Open_BID,18.986203070807996,0.035397520104491154,8,39,0.006920709004693836,-0.05980716952155074
High_BID,19.13507676363971,0.03623956389265559,7,36,0.009594259113086144,-0.060062082946501505
Low_BID,18.465755700348534,0.02792426364347156,5,35,0.006673583968343279,-0.059001737381109365
Close_BID,18.426880249049773,0.03379801577100694,5,14,0.002710056086399253,-0.058943401148383145
Volume_BID,8.269253275576785,0.0011736461118985186,6,52,0.009090737350175446,-0.039523098754898456
Open_ASK,18.995397617275408,0.030818708690482532,1,66,0.0009347421456755987,-0.0598003397826119
High_ASK,19.1356642811778,0.04011919359569083,4,54,0.005436545225845714,-0.06006804965329593
Low_ASK,18.465126274763414,0.02527939933635026,2,56,0.001628472856898146,-0.05899481521048067
Close_ASK,18.439259618608695,0.026636115777590064,2,51,0.002542320521413415,-0.05892860889780138
Volume_ASK,9.52819444101028,0.006569052637192652,0,85,0.0,-0.042415616467371464
Mid_Price,18.441819873942784,0.02900681075476963,0,86,0.0,-0.05893600846461311
Spread,0.48891866347037594,0.005830763587218346,2,59,0.000720368369660239,0.009618824328754272
Volume,8.990282914806652,0.0035628148090698364,1,66,0.000892327234829832,-0.041201810011763484
Open_Mid,19.00202919827721,0.028479236861444823,0,87,0.0,-0.05980380610801461
High_Mid,19.14070348037246,0.03243884625103943,6,56,0.006153968167882031,-0.06006507267122174
Low_Mid,18.46405284286233,0.03295455177819795,0,87,0.0,-0.05899829325682049
Close_Mid,18.441819873942784,0.029905087574794376,0,86,0.0,-0.05893600846461311
Unix_Diff_Since_Earnings,17.941425320462624,0.012282450087444774,98,8,0.05533878973053428,0.058152633005079224
Unix_Diff_Until_Earnings,19.224975793468552,0.025175309818781022,77,1,0.05873665151132526,-0.060194405078050295
Month,0.8177383956946843,0.01640674147626897,23,26,0.028342400373806642,0.012441758801287506
Day_Type,0.47004308266253075,0.0,3,55,0.007460648433552338,0.009428496872715186
Week_of_Year,0.8695724320718526,0.04110678488290809,111,5,0.101021619131004,0.012830698512061645
Quarter,2.8689727662832696,0.0,0,82,0.0,0.023283408641873393
Hour,0.5352487464906943,0.0,0,82,0.0,-0.01008968239261776
Is_Open_Hour,0.009744483206926717,0.001542155794604927,0,84,0.0,0.0013564577384386212
Is_Close_Hour,0.024182177533383385,0.010377378193445752,0,84,0.0,0.0021379688987508416
Day_of_Week,0.9072884472832827,0.0034197656063346127,23,25,0.024602658308902188,-0.013101213639856724
Is_Lunch_Time,0.12100821930300025,0.0017998699359180748,0,83,0.0,-0.00478537935850909
Time_Since_Open,0.5844935414349731,0.0040388905145307685,0,83,0.0,-0.0105079701561408
score,5.8231652088334664,0.4475781891767945,153,1,0.11472029512769691,-0.03316543974389674
rating,18.316088751002432,7.96498023061254e-05,0,85,0.0,-0.05875837773055537
SMA_3,18.83551929008939,0.045827531217327744,6,31,0.005313774171699941,-0.05963016304603741
SMA_6,19.52986082781929,0.03760144334666493,3,41,0.009263778357655243,-0.0606685294584679
SMA_12,20.022058388287366,0.05042024156887437,8,37,0.006791891371612475,-0.061461548867491445
SMA_5,19.35922330889912,0.04325911355606715,3,63,0.0035799442379783357,-0.0603871212164222
SMA_10,19.977403120928656,0.04951881028414129,8,37,0.01786564662504967,-0.06133973017975336
SMA_20,20.12897130924878,0.03244447655904792,11,55,0.010584532444898995,-0.061616582466967884
EMA_3,18.834552613954063,0.04462197026624026,5,51,0.0027721963446076434,-0.059625718319125554
EMA_6,19.307442103186204,0.030897250708645796,11,43,0.012873089743736264,-0.06037136139212862
EMA_12,19.754219220384662,0.044211870535803444,4,49,0.00270038652178527,-0.0610483758606839
EMA_26,20.1674518725699,0.03313074060295329,4,47,0.0027011205213323107,-0.061697377031634915
MACD,0.1551802548181809,0.0,15,36,0.009650865348826379,0.005417597528699414
Signal_Line,0.0062609403629902555,0.014331395025188431,74,4,0.048240976176466395,0.0010881311497872304
%K,6.399801014662885,0.00027753813578690334,9,35,0.008466074061761695,0.03477280142261918
%D,4.268852926148889,0.0018489288759839795,7,53,0.003103291203241909,0.028407075257323555
CCI,3.593832551191973,0.014247387100824183,21,23,0.021800214796700856,0.02606315925896041
Return_1H,0.5019533357936702,0.0,3,62,0.0030294852182131266,0.009743307502617427
Return_3H,2.4660599372254826,0.0063193360007332,6,49,0.006662724366904336,0.021592150995104475
Return_6H,2.7295169779867723,0.006442669292796355,5,44,0.0036163919091661664,0.022715705754123405
RSI_long,4.121373324668029,0.012893266345336274,7,54,0.005316706153490138,0.027900139565398163
RSI_short,4.121373324668029,0.013358585883259666,0,77,0.0,0.027900139565398163
Middle_Band,20.12897130924878,0.03225135396718959,0,79,0.0,-0.061616582466967884
Upper_Band,19.466804825918928,0.07218122738610777,49,6,0.19004913011547322,-0.06063797966514084
Lower_Band,20.45360874267031,0.058682525712494105,31,24,0.019590620181613196,-0.06209899218040604
BB_Width,0.37052755621795147,0.010692964544919858,42,15,0.035561770090639135,0.008360040740711838
High_Low,4.475168197748494,0.01166262110457561,8,50,0.003012744614284748,-0.029089184750034747
High_Close,0.5685988910828335,0.0,2,57,0.0007778224776833664,-0.01036631167847446
Low_Close,0.2858701831480541,0.0010875659965854378,10,41,0.005449592240886537,-0.007355577417428094
True_Range,2.001571861198163,0.011297195927450154,0,81,0.0,-0.019453335170240393
ATR,3.715211135150512,0.008259099104007017,14,32,0.015323156016521329,-0.026487067321819602
Volume_SMA_3,11.130633543425548,0.0013443532932615465,3,39,0.003059006631549938,-0.04583083153722711
Volume_SMA_6,15.301795806273674,0.0027774844465833226,64,10,0.0900262204404958,-0.053719758853191024
OBV,1.0782514034891069,0.021541169730389553,59,11,0.05077740579877841,-0.014352395817923913
MF_Multiplier,2.451242165529306,0.002908682306779653,2,61,0.0011299355424344672,0.02152722842592425
MF_Volume,2.1105949202104566,0.0061501813522486515,4,61,0.0017632512757032113,0.019976081471654084
CMF,9.630893357551766,0.009424800121693,61,10,0.025105889718460228,0.0426413529248757
Volatility,3.4512275493963926,0.004595132139661118,3,42,0.0020105229044600935,-0.025543647241605072
Return,0.5019533357936702,0.0,0,81,0.0,0.009743307502617427
Volume_change,0.13532625905325463,0.0,6,53,0.0035488190989812173,0.005058748839683602
Lag_Mid_Price_1,18.758993731890353,0.02459863081227609,0,80,0.0,-0.059509540904869596
Lag_Mid_Price_2,19.368091787944465,0.022570381822516916,3,46,0.023381447814548137,-0.06034934232123135
Lag_Mid_Price_3,19.802246587238436,0.017959058113546922,4,58,0.003517387933966438,-0.061116194306107374
Lag_Mid_Price_4,20.22423591740031,0.026826768075005614,0,80,0.0,-0.06173246049859138
Lag_Return_1,1.084700379934829,0.00577601734751787,6,44,0.004048922849326345,0.014322054742422097
Lag_Return_2,1.025233187225077,0.00912330580438181,1,65,0.000764861644139342,0.013924007741743516
Lag_Return_3,0.48775271150882515,0.0012071247911806804,5,65,0.001734527848873946,0.00960450651782363
Lag_Return_4,0.04509298776751963,0.00680929056245283,1,62,0.0005129364987867679,0.0029204388713033325
Return_1,0.5019533357936702,0.0,0,79,0.0,0.009743307502617427
Return_5,2.588065514133552,0.008247101793285028,19,27,0.009916994211058048,0.02211955690511047
Return_10,0.9553284371288964,0.0,6,45,0.003919803923145932,0.013441005044795062
Rolling_Mean_5,19.35922330889912,0.04247096389609162,0,78,0.0,-0.0603871212164222
Rolling_Std_5,3.4512275493963926,0.003954307448921668,0,78,0.0,-0.025543647241605072
Lagged_Volatility,2.8870232187019345,0.0,8,47,0.004928348883217953,-0.023364621233497473
Hammer,0.3688272124298468,0.005033153208480412,0,77,0.0,0.008351811524335062
Rolling_Skew,3.907235516127061,0.012630321742754136,57,7,0.03642938441636948,0.027175055261699832
Rolling_Kurt,12.181974013243803,0.016021334198550896,81,9,0.06536779223222328,0.04794661562772262
Price_Z_Score,4.1852278491734465,0.007520989148324775,12,8,0.026701219645425718,0.02812437505372145
Conversion_Line,20.599709494892362,0.18261594948219884,18,15,0.024009710097032896,-0.06233742352509353
Base_Line,20.54006943876337,0.2582621196899615,17,31,0.015330376279959219,-0.06220847217376502
Leading_Span_A,19.087717992666587,0.1338675152105191,62,6,0.03522689042750858,-0.059914808276573694
Leading_Span_B,24.77190033253897,0.24458144916304136,117,2,0.09653727169748211,-0.06826414204834919
Williams_%R,6.401309932503994,6.0630927955163116e-05,4,52,0.009866613482899161,0.03477280269954974
High_Low_Ratio,19.686037790594,0.0,1,63,0.0003869985652929267,-0.011366071443096981
Close_Open_Ratio,16.485860708010822,0.003249061456303215,4,59,0.0014926683502539137,0.01838741916985498
Order_Imbalance,1.0517412436652211,0.0,12,33,0.007818627620877636,0.014102903082804374
VPT,18.248290978678963,0.06950750075206602,46,2,0.05101372713686172,-0.058630647695565585
A/D_Line,0.1954041109525425,0.056413866856134254,64,11,0.0821439654618822,0.006257112481460325
Support_10,19.978546815368876,0.28074392898808265,16,30,0.020648666042839214,-0.06137673237464014
Resistance_10,21.158660486393384,0.2875984894789989,15,34,0.0167288329945319,-0.0631688207587473
Support_Close_10,19.304559239298577,0.29679586736996955,22,21,0.04332892120971023,-0.0603247383551917
Resistance_Close_10,20.520289829443694,0.305282334036699,16,21,0.01611390778783639,-0.0622249908789172
Support_20,20.225598306830413,0.27833136158218497,35,18,0.033822362913176106,-0.06171476158865019
Resistance_20,20.940192343063256,0.27362346417289674,20,17,0.027767725424039897,-0.06281756296246499
Support_Close_20,19.710651607460996,0.2762780092453079,40,9,0.0888088968521411,-0.06098022006879944
Resistance_Close_20,20.121471802568536,0.2718026736111643,14,26,0.04144976899766653,-0.061541197054481245
SMA5_Volume,17.387809246340886,0.008274009215061051,6,45,0.005586318938738626,-0.05725227292583224
RSI_Volatility,0.6801065493297725,0.0,8,29,0.007808109063038421,-0.01134184474152633
OBV_ROC,1.4255515006430801,0.0,3,58,0.0027184594890548646,0.016418300730379087
ROC,0.355846165236841,0.008927329844309106,7,46,0.0039725758605369975,0.008203778622231539
UpMove,0.2915162170639086,0.0068879042062630624,16,29,0.04635250475608139,0.007425301314668786
DownMove,1.218663897059713,0.0,1,57,0.001360903659316453,-0.015180550721941799
