Feature,Univariate_Score,Mutual_Info_Score,Random_Forest_Importance
Open_BID,36.29966131945623,0.011936742521513333,0.006681914261413512
High_BID,36.95067883680168,0.012004263930214254,0.007163478778097108
Low_BID,36.51520506647992,0.011963115378672784,0.006958061511395839
Close_BID,36.8806264210835,0.008619666541756166,0.007629308893249721
Volume_BID,0.5505143869959208,0.0,0.008786644781273646
Open_ASK,36.388268149131584,0.010287938497065108,0.006166266637881734
High_ASK,37.00128267074853,0.016531099422141038,0.00678202219324716
Low_ASK,36.56859536257061,0.010919405298805307,0.007678682896416505
Close_ASK,36.89585838084362,0.00883133765921329,0.007632295468071277
Volume_ASK,0.5240327867150552,0.0028642517835981707,0.008762291315723229
Mid_Price,36.88794376429873,0.007538206867831132,0.00767570879497169
Spread,0.08228018854948119,0.0,0.00629389699396222
Volume,0.5371397673402909,0.0034090202917842483,0.008552737664251941
Open_Mid,36.34374808026136,0.004558019030918237,0.0066965881723617835
High_Mid,36.964263924341154,0.014971183562013879,0.007757812231660986
Low_Mid,36.53321935273711,0.014790776904031633,0.007056601226446444
Close_Mid,36.88794376429873,0.008022547186463225,0.007600374593314938
Unix_Diff_Until_Earnings,2.4863297281694807,0.3352032763823307,0.020897987343570814
Month,0.17666744571745058,0.0,0.0010142734578437475
Day_Type,0.0034869428001053173,0.0,0.0015169666733341402
Week_of_Year,2.2387543273642647,0.0022868171661958314,0.0020115556882764367
Quarter,1.812831989890889,0.009893949793008616,0.00042156799462877157
Hour,2.6988666779713455,0.0,0.004889921640695087
Is_Open_Hour,0.03921751145979115,0.0004277603646554162,0.0003896459963328014
Is_Close_Hour,10.731608479438941,0.0035329679562108307,0.0013129592727028911
Day_of_Week,0.30820493372396063,0.0,0.003145850419158178
Is_Lunch_Time,0.17957802044625745,0.0,0.0018225772845384927
Time_Since_Open,2.919383858003571,0.003536036272891785,0.0047534153967097766
score,7.224593524170921,0.0030094960404678517,0.004821788376435371
rating,7.831709546966757,0.006149667553588811,0.0010584447814614125
SMA_3,37.09948169038621,0.01322311826990541,0.00767070531157416
SMA_6,37.93332587110931,0.010115666654417543,0.008547969685619307
SMA_12,37.7910349494392,0.012332322188278733,0.0089841493123624
SMA_5,37.77160366348435,0.013836055495378696,0.007714725531222564
SMA_10,37.87523602472341,0.006436949580732376,0.008725027080173895
SMA_20,38.02035708400422,0.017803269630408902,0.010878190528025099
EMA_3,37.20573004421115,0.013149457432380496,0.008098576227308368
EMA_6,37.59212507565225,0.017652050535603037,0.008164373393803851
EMA_12,37.94255789874838,0.016346604619011273,0.009274293192811726
EMA_26,38.45041843582767,0.018576434416350374,0.012143221033410208
MACD,0.32675064818662986,0.0,0.01723938557000456
Signal_Line,-0.061700571841131355,0.004814449495343931,0.01742453082831282
%K,0.6491820169426539,0.004665803268646851,0.011378674910368907
%D,3.114051505543151,0.0030907921056004817,0.013356510820127163
CCI,2.212118635582835,0.008687748543887208,0.01200156382217073
Return_1H,-1.358946318335354,0.005462442310405491,0.008236092402557927
Return_3H,3.640809818040131,0.006866379446206938,0.011249057806191667
Return_6H,0.01792975201715562,0.008995399879061727,0.011999366094697468
RSI_long,0.9625171672716588,0.0,0.012425056498129907
RSI_short,0.9625171672716588,0.0,0.01332112548407677
Middle_Band,38.02035708400422,0.018501259536668924,0.011600341806038049
Upper_Band,39.75115915337248,0.028654812050611822,0.013132407395998214
Lower_Band,35.23826154270089,0.022056242797600545,0.013078716541627037
High_Low,0.21616331155029517,0.005008486745775809,0.00808666427570494
High_Close,1.7148127365042116,0.0,0.0083721064393883
Low_Close,0.004184995584892044,0.0,0.008678008010782752
True_Range,0.5531453695922399,0.0,0.008892142397749589
ATR,3.6381136282183806,0.0077043779471519525,0.017340636252409364
Volume_SMA_3,0.08124846325919796,0.003453271017927584,0.013039683208271662
Volume_SMA_6,0.03617001784239179,0.00829257695582375,0.014724577610761971
OBV,22.124337335499824,0.01333088085491485,0.018443351197521714
MF_Multiplier,0.03811345994569849,0.00570282240677078,0.009822770430497653
MF_Volume,-0.020550295264004755,0.0,0.009651032493851082
CMF,3.791551609782472,0.004334112343659102,0.015958655760354983
Volatility,1.870285875017831,0.007357386253592946,0.011530560375190362
Return,-1.358946318335354,0.006865711001382335,0.008305079689938351
Volume_change,2.3683001366866123,0.0,0.010763373057873034
Lag_Mid_Price_1,36.86286941995194,0.007072909261902849,0.006693380236276147
Lag_Mid_Price_2,37.43470795021891,0.005053171362463749,0.008042125317583372
Lag_Mid_Price_3,38.54231790783799,0.013614910674278002,0.008020861876091016
Lag_Mid_Price_4,38.85483813243533,0.0014155111245148788,0.008467305937739313
