Datetime,Open_BID,High_BID,Low_BID,Close_BID,Open_ASK,High_ASK,Low_ASK,Close_ASK,Volume,Mid_Price,Spread,Hour,Month,Day_Type,Unix_Diff_Until_Earnings,score,rating,SMA_5,SMA_10,Volatility,Return,Volume_change,Lag_Close_1,Lag_Close_2,Lag_Close_3,Lag_Close_4,Lag_Close_5,Lag_Volume_1,Lag_Volume_2,Lag_Volume_3,Lag_Volume_4,Lag_Volume_5,Lag_Return_1,Lag_Return_2,Lag_Return_3,Lag_Return_4,Lag_Return_5,Support_10,Resistance_10,Support_Close_10,Resistance_Close_10,Support_20,Resistance_20,Support_Close_20,Resistance_Close_20,RSI,Higher
2024-08-13 17:25:00,0.39444738233738796,0.3873379592275814,0.4046364594309786,0.39770503939506163,0.39306144067796644,0.38505933117583524,0.4036624623990708,0.39562476826103143,0.12407407407407407,0.39666578459910085,0.02600000000001046,17,8,0,7371300,0.0,1,0.39550755011016214,0.3858213288356822,0.008314053675200096,0.5994982197802194,0.10094509509250141,0.39349034136014893,0.39640116432918937,0.39878274675840153,0.3961365440592761,0.3969304048690141,0.15925925925925927,0.10555555555555554,0.05925925925925925,0.06666666666666667,0.05925925925925925,0.5883652637864648,0.5893341056333898,0.598528929826006,0.5922371604716711,0.5912695191926794,0.4116375817170024,0.3630751964085306,0.40502869636512706,0.3626928471248263,0.4136264929424538,0.3617863199547777,0.4061386681282553,0.3634826711749799,0.4210526315789542,1.0
2024-08-13 17:26:00,0.39714436805922837,0.38626216986713935,0.40669125395152683,0.3960657818201039,0.396716101694917,0.38451995685005436,0.405245659401551,0.39408866995073843,0.033333333333333326,0.3950780629796231,0.027999999999991587,17,8,0,7371240,0.0,1,0.3952926003546686,0.3859872259241861,0.008733777468850703,0.5907852237770014,0.032401587016506916,0.39666578459910085,0.39349034136014893,0.39640116432918937,0.39878274675840153,0.3961365440592761,0.12407407407407407,0.15925925925925927,0.10555555555555554,0.05925925925925925,0.06666666666666667,0.5994982197802194,0.5883652637864648,0.5893341056333898,0.598528929826006,0.5922371604716711,0.4116375817170024,0.3630751964085306,0.40502869636512706,0.3626928471248263,0.4136264929424538,0.3617863199547777,0.4061386681282553,0.3634826711749799,0.44800000000000173,1.0
2024-08-13 17:27:00,0.3965626652564769,0.3856704857188955,0.40305584826132623,0.39453228279837127,0.3951800847457623,0.38295577130528535,0.40213203863000757,0.39244663382594425,0.17962962962962964,0.39349034136014893,0.02600000000001046,17,8,0,7371180,0.0,1,0.3942178515771939,0.38612547349794113,0.0064179296186578725,0.5907848307508989,0.6169174612634089,0.3950780629796231,0.39666578459910085,0.39349034136014893,0.39640116432918937,0.39878274675840153,0.033333333333333326,0.12407407407407407,0.15925925925925927,0.10555555555555554,0.05925925925925925,0.5907852237770014,0.5994982197802194,0.5883652637864648,0.5893341056333898,0.598528929826006,0.41331244259549393,0.3630751964085306,0.40639518994260726,0.3626928471248263,0.4136264929424538,0.3617863199547777,0.4061386681282553,0.3634826711749799,0.3750000000000119,1.0
2024-08-13 17:28:00,0.39391856160761485,0.3851863805066955,0.4051106427818745,0.3960657818201039,0.39306144067796644,0.38295577130528535,0.40424296796664727,0.39408866995073843,0.07037037037037036,0.3950780629796231,0.027999999999991587,17,8,0,7371120,0.0,1,0.39394916438282657,0.386180772527446,0.005387591145423124,0.5965936257262714,0.04691785181156484,0.39349034136014893,0.3950780629796231,0.39666578459910085,0.39349034136014893,0.39640116432918937,0.17962962962962964,0.033333333333333326,0.12407407407407407,0.15925925925925927,0.10555555555555554,0.5907848307508989,0.5907852237770014,0.5994982197802194,0.5883652637864648,0.5893341056333898,0.41331244259549393,0.3630751964085306,0.40639518994260726,0.3626928471248263,0.4136264929424538,0.3617863199547777,0.4061386681282553,0.3634826711749799,0.4047619047618919,1.0
2024-08-13 17:29:00,0.39603384452670554,0.3878220644397832,0.4051106427818745,0.3982338321611767,0.3946504237288142,0.3851132686084142,0.4036624623990708,0.39615445733354626,0.12037037037037036,0.3971950251389256,0.02600000000001046,17,8,0,7371060,0.0,1,0.39470148852705655,0.38607017446843983,0.006123305695557674,0.5975612995675715,0.22191597139451724,0.3950780629796231,0.39349034136014893,0.3950780629796231,0.39666578459910085,0.39349034136014893,0.07037037037037036,0.17962962962962964,0.033333333333333326,0.12407407407407407,0.15925925925925927,0.5965936257262714,0.5907848307508989,0.5907852237770014,0.5994982197802194,0.5883652637864648,0.41331244259549393,0.3630751964085306,0.40639518994260726,0.3626928471248263,0.4136264929424538,0.3617863199547777,0.4061386681282553,0.3634826711749781,0.5,0.0
2024-08-13 17:30:00,0.3992067689053407,0.39373890592221983,0.40985247629083155,0.40452646607794307,0.3983580508474578,0.39104638619201637,0.4089925589740879,0.4020340060384555,0.1037037037037037,0.4032812913469179,0.018000000000000682,17,8,0,7371000,0.0,1,0.3960449244988986,0.3867337628224661,0.01857813673240219,0.6048197931616588,0.11270963084825997,0.3971950251389256,0.3950780629796231,0.39349034136014893,0.3950780629796231,0.39666578459910085,0.12037037037037036,0.07037037037037036,0.17962962962962964,0.033333333333333326,0.12407407407407407,0.5975612995675715,0.5965936257262714,0.5907848307508989,0.5907852237770014,0.5994982197802194,0.41331244259549393,0.36644219977553405,0.40639518994260726,0.36746143057503744,0.4136264929424538,0.3617863199547777,0.4061386681282553,0.364609749225135,0.6456692913385865,0.0
2024-08-13 17:31:00,0.4050237969328414,0.3953525899628847,0.4156480505795557,0.40611284437628825,0.4036546610169509,0.39320388349514523,0.4142171090822728,0.40415276232851305,0.046296296296296294,0.40513363323630713,0.02800000000002001,17,8,0,7370940,0.0,1,0.3980869471760986,0.3876738463239988,0.025278666026513727,0.5970748983417364,0.05765792610250296,0.4032812913469179,0.3971950251389256,0.3950780629796231,0.39349034136014893,0.3950780629796231,0.1037037037037037,0.12037037037037036,0.07037037037037036,0.17962962962962964,0.033333333333333326,0.6048197931616588,0.5975612995675715,0.5965936257262714,0.5907848307508989,0.5907852237770014,0.41331244259549393,0.3686868686868703,0.40639518994260726,0.36942496493688814,0.4136264929424538,0.3640474844544954,0.4061386681282553,0.3665821358129051,0.6899224806201639,0.0
2024-08-13 17:32:00,0.40555261766261275,0.3980958528320162,0.41195995785036743,0.4013537094812545,0.4047139830508488,0.395900755124055,0.4110507150773124,0.39885587160336833,0.15185185185185185,0.400105848107966,0.018000000000000682,17,8,0,7370880,0.0,1,0.39943038314794066,0.38781209389775384,0.020227453399367504,0.5845002720929945,0.4026106347802684,0.40513363323630713,0.4032812913469179,0.3971950251389256,0.3950780629796231,0.39349034136014893,0.046296296296296294,0.1037037037037037,0.12037037037037036,0.07037037037037036,0.17962962962962964,0.5970748983417364,0.6048197931616588,0.5975612995675715,0.5965936257262714,0.5907848307508989,0.41331244259549393,0.37149270482603924,0.40639518994260726,0.36942496493688814,0.4136264929424538,0.36687394007914165,0.4061386681282553,0.3665821358129051,0.5755395683453375,0.0
2024-08-13 17:33:00,0.40084611316763663,0.3910494325211129,0.4077449947312939,0.39770503939506163,0.39989406779661074,0.38942826321467017,0.40635389730328697,0.39615445733354626,0.17407407407407408,0.3969304048690141,0.036000000000001364,17,8,0,7370820,0.0,1,0.39980654522005565,0.3878673929272569,0.017522337789431623,0.5878831182651661,0.1515196662693683,0.400105848107966,0.40513363323630713,0.4032812913469179,0.3971950251389256,0.3950780629796231,0.15185185185185185,0.046296296296296294,0.1037037037037037,0.12037037037037036,0.07037037037037036,0.5845002720929945,0.5970748983417364,0.6048197931616588,0.5975612995675715,0.5965936257262714,0.41331244259549393,0.37149270482603924,0.40639518994260726,0.36942496493688814,0.4136264929424538,0.36687394007914165,0.4061386681282553,0.3665821358129051,0.4817518248175134,0.0
2024-08-13 17:34:00,0.3981491274457962,0.38728416975956037,0.4014752370916739,0.3928930252234153,0.3972987288135599,0.3851132686084142,0.4010238007282698,0.39144022458816785,0.16666666666666666,0.39216724001058445,0.038000000000010914,17,8,0,7370760,0.0,1,0.39878553388145654,0.3877291453535001,0.02552874909826193,0.5849778044683815,0.12550655542312275,0.3969304048690141,0.400105848107966,0.40513363323630713,0.4032812913469179,0.3971950251389256,0.17407407407407408,0.15185185185185185,0.046296296296296294,0.1037037037037037,0.12037037037037036,0.5878831182651661,0.5845002720929945,0.5970748983417364,0.6048197931616588,0.5975612995675715,0.411691609487276,0.37149270482603924,0.40502869636512706,0.36942496493688814,0.4136264929424538,0.36687394007914165,0.4061386681282553,0.3665821358129051,0.4399999999999955,0.0
