hyperparameter_set,average_roc_auc,model_path,timestamp
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.556020139171604,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_40.pkl,20241102_130357
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.49649799773923836,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_130408
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.4638759725647949,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_130414
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.4770206032539165,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_130420
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.44093953105975253,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_130427
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.46097611371138736,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_18.pkl,20241102_130433
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5164281196719175,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_19.pkl,20241102_130439
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.48825759901397525,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_25.pkl,20241102_130445
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5486743556031835,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_30.pkl,20241102_130451
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5219031081396382,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_32.pkl,20241102_130457
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5030091680074007,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_35.pkl,20241102_130503
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5428625401687045,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_36.pkl,20241102_130510
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5248269266762865,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_38.pkl,20241102_130516
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5414154885238288,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_40.pkl,20241102_130522
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.4942191666850536,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_130533
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.4913428757672894,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_130539
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.45455028882270926,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_130545
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.43824801567122923,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_130551
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.44040510642467223,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_18.pkl,20241102_130557
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.43314170862782386,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_19.pkl,20241102_130603
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.45268683501292994,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_25.pkl,20241102_130609
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.4875064193303258,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_30.pkl,20241102_130616
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.5282467502449125,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_32.pkl,20241102_130622
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.49115705281351846,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_35.pkl,20241102_130628
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.4853085284046858,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_36.pkl,20241102_130633
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.4477663550731698,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_38.pkl,20241102_130639
"{'learning_rate': 0.2, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0.5, 'max_bin': 1000, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 5, 'bagging_seed': 999}",0.5017043496719488,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_40.pkl,20241102_130645
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.46120142653145757,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_130657
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.47511192211793496,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_130703
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.46932731624386426,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_130709
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.4704802792478465,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_130716
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.45721928875272677,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_18.pkl,20241102_130722
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.4640873124015334,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_19.pkl,20241102_130729
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.46655854730883284,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_25.pkl,20241102_130735
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.5042607767750561,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_30.pkl,20241102_130740
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.5515958847249472,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_32.pkl,20241102_130747
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.5160721211290227,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_35.pkl,20241102_130753
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.4647851312381294,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_36.pkl,20241102_130759
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.5122359402508776,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_38.pkl,20241102_130805
"{'learning_rate': 0.01, 'num_leaves': 50, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 1.0, 'lambda_l1': 0, 'lambda_l2': 1.0, 'min_gain_to_split': 1.0, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 1.0, 'bagging_freq': 10, 'bagging_seed': 999}",0.5116448579918704,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_40.pkl,20241102_130811
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.4765345703928987,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_130822
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.46133251081451065,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_130829
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.46760762120510047,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_130835
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.47478925117269277,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_130841
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.4711734049815222,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_18.pkl,20241102_130847
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.46771499450236176,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_19.pkl,20241102_130853
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.4947798022428758,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_25.pkl,20241102_130859
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.518955347276418,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_30.pkl,20241102_130905
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.5040608894274918,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_32.pkl,20241102_130911
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.5350027933205291,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_35.pkl,20241102_130917
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.5317669016255021,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_36.pkl,20241102_130923
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.5492423123486622,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_38.pkl,20241102_130929
"{'learning_rate': 0.2, 'num_leaves': 100, 'max_depth': 30, 'min_data_in_leaf': 100, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 10.0, 'min_gain_to_split': 0.5, 'max_bin': 255, 'boosting_type': 'dart', 'bagging_fraction': 0.6, 'bagging_freq': 15, 'bagging_seed': 100}",0.5573105127136847,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_40.pkl,20241102_130935
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': 20, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 999}",0.509173560252858,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_130946
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': 20, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 999}",0.4693928434743532,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_130952
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': 20, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 999}",0.4650827022538381,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_130959
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': 20, 'min_data_in_leaf': 100, 'feature_fraction': 0.8, 'lambda_l1': 1.0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 999}",0.4792749818012821,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_131005
