hyperparameter_set,average_roc_auc,model_path,timestamp
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.46346982828118166,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_125954
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.47720798875497106,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_130000
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.4296778565566875,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_130006
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.44868571841726224,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_130012
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.4954084318889289,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_18.pkl,20241102_130019
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.46576733521649505,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_19.pkl,20241102_130025
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.5075617768816423,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_25.pkl,20241102_130031
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.5022911582415556,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_30.pkl,20241102_130037
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.45822236953357975,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_32.pkl,20241102_130043
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.534754098148593,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_35.pkl,20241102_130049
